BreweryInWAList,Brewery,4,8,12,2,1,7,6,3,5,11,10,9,total
beardslee public house,BEARDSLEE PUBLIC HOUSE,27.5,57.5,53.0,37.0,32.5,50.0,39.5,52.0,55.5,29.5,30.0,44.5,508.5
bellevue brewing company,BELLEVUE BREWING COMPANYBELLEVUE BREWING COMPANY SPRING DISTRICT BREW,73.89,69.48,120.66,57.15,40.89,114.79,60.8,69.68,65.29,94.34,88.03999999999999,123.56,978.57
bellwether brewing company,BELLWETHER BREWING COMPANY,13.16,11.83,16.16,23.66,7.0,14.67,22.66,12.33,19.67,20.0,19.16,21.84,202.14
bennidito's brewpub,BENNIDITOS BREW PUB,35.0,0.0,31.38,19.89,37.01,14.66,37.16,36.38,44.0,0.0,45.76,72.86,374.1
bent bine brewing company,BENT BINE BREW CO,9.5,51.6,0.0,39.3,0.0,0.0,11.92,0.0,0.0,24.8,0.0,0.0,137.12
berchmans brewing company,BERCHMANS BREWING COMPANY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
best of hands barrelhouse,BEST OF HANDS BARRELHOUSE,18.89,10.26,0.0,10.25,15.25,29.88,18.28,17.57,13.31,15.16,16.92,23.33,189.09999999999997
bickersons brewhouse,BICKERSONS BREWHOUSE LLCBICKERSONS BREWHOUSE,18.25,62.85,19.77,24.05,11.61,34.79,28.009999999999998,16.28,29.08,21.28,61.94,42.11,370.02
big block brewing,BIG BLOCK BREWING,25.39,43.58,8.71,55.26,36.06,37.26,58.61,53.65,48.1,46.52,43.19,54.39,510.71999999999997
big house brewpub,BIG HOUSE BREW PUB,0.0,0.0,42.0,21.0,39.0,0.0,28.0,21.0,49.0,0.0,0.0,67.0,267.0
big time brewery,BIG TIME BREWING COMPANY,0.0,97.5,0.0,83.5,0.0,120.95,0.0,54.75,57.25,94.25,0.0,62.0,570.2
birdsview brewing company,BIRDSVIEW BREWING CO,26.6,19.1,19.7,32.7,20.2,37.6,26.4,24.8,13.3,19.5,12.0,33.3,285.20000000000005
bizarre brewing,BIZARRE BREWING,0.0,0.0,30.88,0.0,0.0,0.0,0.0,0.0,0.0,21.97,27.51,0.0,80.36
