brewery_name,year,estimate,annual_production
Urban Family Brewing,2017,1,"1,120"
V Twin Brewing Company,2017,1,59
Valhöll Brewing Company,2017,1,709
Valholl Brewing Company,2017,1,709
Valley Brewing Company,2017,0,52
Valley House Brewing Company,2017,1,100
Valley House Brewing,2017,1,100
Varietal Beer Company,2017,1,26
Vashon Brewing,2017,0,200
Vashon Brewing Company,2017,0,200
Vessel Ales and Taphouse,2017,1,52
Victor 23 Craft Brewery,2017,1,339
Waddell's Brewing Company,2017,1,572
Walking Man Brewing,2017,1,819
Wander Brewing,2017,0,"2,016"
Wandering Hop Brewery,2017,0,26
Water Buffalo Brewery,2017,1,32
Watts Brewing Company,2017,0,48
Wenatchee Valley Brewing Company,2017,1,220
West Seattle Brewing Company,2017,1,437
Western Red Brewing,2017,1,122
Wet Coast Brewing Company,2017,0,718
Whipsaw Brewing,2017,0,550
Whistle Punk Brewing Company,2017,1,107
White Bluffs Brewing,2017,0,625
Whitewall Brewing Company,2017,0,302
Wicked Teuton Brewing Company,2017,1,67
Wicked Tueton Brewing,2017,1,67
Willapa Brewing Company,2017,1,155
Willapa Brewing Co,2017,1,155
Wingman Brewers,2017,1,876
Yakima Craft Brewing Company,2017,0,"1,500"
Yakima Valley Hops,2017,1,5
Young Buck Brewing,2017,1,125
