brewery,satellite_location,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link
Barhop Brewing,Port Angeles Railroad Ave,brewpub,124 W Railroad Ave,Port Angeles,98362,Clallam,48.12089402,-123.43253040,2011,0,1,1,0,https://untappd.com/BarhopBrewing
Barhop Brewing,Port Angeles 19th St,micro,2506 W 19th St,Port Angeles,98363,Clallam,48.12171650,-123.49486280,2011,0,1,1,0,https://untappd.com/BarhopBrewing
Barley POP! Brewing,,micro,4715 86th pl ne,Marysville,98270,Snohomish,48.05181215,-122.17722949,1999,1,0,1,0,https://untappd.com/BarleyPOPBrewing
Barrel Mountain Brewing,,brewpub,607 E Main St,Battle Ground,98604,Clark,45.78085889,-122.53093070,2016,0,1,1,0,https://untappd.com/BarrelMountainBrewing
Bastion Brewing Company,,taproom,12529 Christianson Rd,Anacortes,98221,Skagit,48.46178230,-122.57061390,2016,0,1,1,0,https://untappd.com/BastionBrewingCompany
Beach Cat Brewing,,brewpub,7876 Birch Bay Dr #101,Blaine,98230,Whatcom,48.92825894,-122.73822708,2021,1,0,1,0,https://untappd.com/w/beach-cat-brewing/461545
Beardslee Public House,,brewpub,19116 112th Ave Ne,Bothell,98011,Snohomish,47.76626380,-122.19197500,2015,1,1,1,0,https://untappd.com/w/beardslee-public-house/159258
Bellevue Brewing Company,,taproom,1820 130th Avenue NE Suite 2,Bellevue,98005,King,47.62658291,-122.16692860,2011,1,1,1,0,https://untappd.com/bellevuebrewingcompany
Bellwether Brewing Company,,brewpub,2019 N Monroe Street,Spokane,99205,Spokane,47.67599738,-117.42679630,2016,0,1,1,0,https://untappd.com/BellwetherBrewingCompany
Bennidito's Brewpub,,taproom,1909 E Sprague,Spokane,99202,Spokane,47.65737500,-117.38227200,2016,0,1,1,0,https://untappd.com/w/bennidito-s-brew-pub/212553
Bent Bine Brewing Company,,taproom,23297 State Route 3,Belfair,98528,Mason,47.44498700,-122.83224600,2017,0,1,1,0,https://untappd.com/BentBineBrewCo
Bickersons Brewhouse,,taproom,4710 NE 4th St #C105,Renton,98059,King,47.48886600,-122.15539300,2021,1,0,1,0,https://untappd.com/BickersonsBrewhouse
Big Barn Brewing Company,,taproom,16004 N Applewood Lane,Mead,99021,Spokane,47.80600384,-117.25663224,2013,1,1,1,0,https://untappd.com/BigBarnBrewingCompany
Big Block Brewing,Sammamish,taproom,3310 E Lake Sammamish Pkwy SE,Sammamish,98074,King,47.57966860,-122.07417340,2014,0,1,1,0,https://untappd.com/bigblockbrews
Big Block Brewing,Redmond,brewpub,14950 NE 95th St,Redmond,98052,King,47.68640020,-122.14113060,2014,0,1,1,0,https://untappd.com/bigblockbrews
Big House Brewpub,,brewpub,11 S Palouse St,Walla Walla,99362,Walla Walla,46.06904130,-118.33476780,2019,1,0,0,0,https://untappd.com/BigHouseBrewPub
Big Time Brewery,,brewpub,4133 University Ave NE,Seattle,98105,King,47.65795447,-122.31365388,1988,0,1,1,0,https://untappd.com/BigTimeBrewingCompany
Birdsview Brewing Company,,micro,38302 State Rt 20,Concrete,98237,Skagit,48.52822071,-121.91307706,2006,0,1,1,0,https://untappd.com/BirdsviewBrewingCompany
Bizarre Brewing,,brewpub,4441 26th Ave W Suite A,Seattle,98199,King,47.66058456,-122.39028844,2023,1,0,1,0,https://untappd.com/BizarreBrewing
