brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,leg_district,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
Badger Mountain Brewing Company,taproom,1 Orondo Avenue,Wenatchee,98801,Chelan,47.423866,-120.309043,2013,0,0,https://untappd.com/BadgerMountainBrewing,12,11.0,,43.1,22.59,29.4,28.74,28.64,21.66,26.81,11.61,14.06,21.25,258.86
Bainbridge Brewing Company,taproom,9415 Coppertop Loop Suite 103-104,Bainbridge Island,98110,Kitsap,47.65010066,-122.5194436,2012,1,0,https://untappd.com/BainbridgeIslandBrewing,23,62.22,58.44,79.15,92.48,83.84,83.22,113.68,104.54,91.84,100.46,68.35,71.56,1009.78
Bale Breaker Brewing Company,taproom,1801 Birchfield Rd,Yakima,98901,Yakima,46.577022,-120.435339,2013,1,0,https://untappd.com/BaleBreakerBrewing,13,1535.06,1276.72,1822.97,1900.88,1802.26,2140.11,2302.83,2282.84,1709.75,1536.51,2088.51,1416.19,21814.629999999994
Bardic Brewing and Cider,brewpub,15412 E Sprague Ave Suite 14,Spokane Valley,99037,Spokane,47.65694705,-117.197867,2019,0,0,https://untappd.com/Bardic_Brewing,4,3.32,1.88,,3.91,,3.49,1.79,,4.93,,,8.12,27.44
Barhop Brewing,brewpub,124 W Railroad Ave,Port Angeles,98362,Clallam,48.12089402,-123.4325304,2011,0,0,https://untappd.com/BarhopBrewing,24,,42.0,83.0,51.0,,117.0,57.0,,70.0,82.83,52.03,35.88,590.74
Barley POP! Brewing,micro,4715 86th pl ne,Marysville,98270,Snohomish,48.05181215,-122.1772295,1999,1,0,https://untappd.com/BarleyPOPBrewing,38,,,,,,3.5,3.0,,2.43,0.85,1.85,1.5,13.13
Barlow's Brewery,brewpub,705 SE Park Crest Ave Suite D430,Vancouver,98683,Clark,45.61626235,-122.5222064,2020,0,1,https://untappd.com/BarlowsBrewery,17,5.48,,,0.67,,,,,,,,,6.15
Barrel Mountain Brewing,brewpub,607 E Main St,Battle Ground,98604,Clark,45.78085889,-122.5309307,2016,0,0,https://untappd.com/BarrelMountainBrewing,18,106.29,111.75,167.61,153.19,191.01,183.67,143.91,209.85,156.76,150.98,152.74,121.47,1849.23
Bastion Brewing Company,taproom,12529 Christianson Rd,Anacortes,98221,Skagit,48.4617823,-122.5706139,2016,0,0,https://untappd.com/BastionBrewingCompany,40,,,,,,,113.55,85.4,,51.4,,57.3,307.65
Beach Cat Brewing,brewpub,7876 Birch Bay Dr #101,Blaine,98230,Whatcom,48.92825894,-122.7382271,2021,1,0,https://untappd.com/w/beach-cat-brewing/461545,42,,21.0,16.0,18.0,46.5,,52.5,,71.0,18.0,23.0,13.5,279.5
Beardslee Public House,brewpub,19116 112th Ave Ne,Bothell,98011,Snohomish,47.7662638,-122.191975,2015,1,0,https://untappd.com/w/beardslee-public-house/159258,1,32.5,37.0,52.0,27.5,55.5,39.5,50.0,57.5,44.5,30.0,29.5,53.0,508.5
Bellevue Brewing Company,taproom,1820 130th Avenue NE Suite 2,Bellevue,98005,King,47.62658291,-122.1669286,2011,1,0,https://untappd.com/bellevuebrewingcompany,48,40.89,57.15,69.68,73.89,65.29,60.8,114.79,69.48,123.56,88.03999999999999,94.34,120.66,978.57
Bellwether Brewing Company,brewpub,2019 N Monroe Street,Spokane,99205,Spokane,47.67599738,-117.4267963,2016,0,0,https://untappd.com/BellwetherBrewingCompany,3,7.0,23.66,12.33,13.16,19.67,22.66,14.67,11.83,21.84,19.16,20.0,16.16,202.14
Bennidito's Brewpub,taproom,1909 E Sprague,Spokane,99202,Spokane,47.657375,-117.382272,2016,0,0,https://untappd.com/w/bennidito-s-brew-pub/212553,3,37.01,19.89,36.38,35.0,44.0,37.16,14.66,,72.86,45.76,,31.38,374.1
Bent Bine Brewing Company,taproom,23297 State Route 3,Belfair,98528,Mason,47.444987,-122.832246,2017,0,0,https://untappd.com/BentBineBrewCo,35,,39.3,,9.5,,11.92,,51.6,,,24.8,,137.12
Berchmans Brewing Company,nano,25 North Front Street,Yakima,98901,Yakima,46.602834,-120.507761,2014,0,1,https://untappd.com/BerchmansBrewingCompany,15,,,1.0,,,,,,,1.0,1.0,,3.0
Best of Hands Barrelhouse,brewpub,7500 35th Ave SW,Seattle,98126,King,47.535,-122.376,2019,0,0,https://untappd.com/BestOfHands,34,15.25,10.25,17.57,18.89,13.31,18.28,29.88,10.26,23.33,16.92,15.16,,189.09999999999997
Bickersons Brewhouse,taproom,4710 NE 4th St #C105,Renton,98059,King,47.488866,-122.155393,2021,1,0,https://untappd.com/BickersonsBrewhouse,11,11.61,24.05,16.28,18.25,29.08,28.01,34.79,62.85,42.11,61.94,21.28,19.77,370.02
Big Block Brewing,taproom,3310 E Lake Sammamish Pkwy SE,Sammamish,98074,King,47.5796686,-122.0741734,2014,0,0,https://untappd.com/bigblockbrews,41,36.06,55.26,53.65,25.39,48.1,58.61,37.26,43.58,54.39,43.19,46.52,8.71,510.72
Big House Brewpub,brewpub,11 S Palouse St,Walla Walla,99362,Walla Walla,46.0690413,-118.3347678,2019,1,0,https://untappd.com/BigHouseBrewPub,16,39.0,21.0,21.0,,49.0,28.0,,,67.0,,,42.0,267.0
Big Time Brewery,brewpub,4133 University Ave NE,Seattle,98105,King,47.65795447,-122.3136539,1988,0,0,https://untappd.com/BigTimeBrewingCompany,43,,83.5,54.75,,57.25,,120.95,97.5,62.0,,94.25,,570.2
Birdsview Brewing Company,micro,38302 State Rt 20,Concrete,98237,Skagit,48.52822071,-121.9130771,2006,0,0,https://untappd.com/BirdsviewBrewingCompany,39,20.2,32.7,24.8,26.6,13.3,26.4,37.6,19.1,33.3,12.0,19.5,19.7,285.20000000000005
Bizarre Brewing,brewpub,4441 26th Ave W Suite A,Seattle,98199,King,47.66058456,-122.3902884,2022,1,0,https://untappd.com/BizarreBrewing,36,,,,,,,,,,27.51,21.97,30.88,80.36
Black Fleet Brewing,taproom,2302 Fawcett Ave,Tacoma,98402,Pierce,47.240775,-122.440565,2019,1,0,https://untappd.com/BlackFleetBrewing,27,9.42,12.94,11.94,13.51,16.44,15.74,17.08,22.1,14.67,11.98,9.56,11.05,166.42999999999998
Black Label Brewing Company,micro,W 19 Main Ave,Spokane,99201,Spokane,47.6587606,-117.41198,2015,0,0,https://untappd.com/BlackLabelBrewingCompany,3,,,8.0,12.5,,,32.0,,,40.5,,,93.0
Black Raven Brewing Company,micro,15902 Woodinville-Redmond Rd NE,Woodinville,98072,King,47.74648386,-122.1631586,2009,1,0,https://untappd.com/BlackRavenBrewingCompany,1,-10.54,1194.46,21.73,1590.16,878.0899999999999,-5.95,1774.7800000000002,904.37,-6.81,1888.28,-7.05,684.23,8905.75
Blackbeard's Brewing Company,brewpub,700 W Ocean Ave,Westport,98595,Grays Harbor,46.88708755,-124.1119257,2015,0,0,https://untappd.com/Blackbeards,19,8.0,24.0,,32.0,24.0,24.0,16.0,50.0,17.5,8.0,,,203.5
Blewett Brewing Company,micro,911 Commercial Street,Leavenworth,98826,Chelan,47.5966521,-120.6561619,2016,1,0,https://untappd.com/BlewettBrewing,12,15.1,16.6,18.4,21.85,22.45,34.1,39.05,43.25,45.3,31.6,22.5,28.0,338.2
Bombing Range Brewing Company,micro,2000 Logston Blvd #126,Richland,99354,Benton,46.318477,-119.301893,2017,0,0,https://untappd.com/w/bombing-range-brewing-company/298095,8,40.66,45.1,46.87,48.02,44.79,50.47,47.31,41.12,47.71,45.88,39.98,40.44,538.35
Bottle Bay Brewing Company,brewpub,503 E 30th Ave,Spokane,99203,Spokane,47.62733743,-117.4029121,2020,0,0,https://untappd.com/BottleBayBrewingCo,3,,4.0,,,,46.0,,,,80.0,,,130.0
Boundary Bay Brewery,brewpub,1107 Railroad Ave,Bellingham,98225,Whatcom,48.74721696,-122.4810156,1995,1,0,https://untappd.com/bbaybrewery,42,304.31,416.68,495.1,559.19,458.02,613.18,577.56,461.11,538.55,477.46,372.26,340.11,5613.530000000001
BreakThru Brewing Company,taproom,8611 S 212th St,Kent,98031,King,47.411994,-122.2249666,2021,1,0,https://untappd.com/BreakThruBrewingCompany,33,15.0,11.5,,4.0,8.0,4.5,4.5,12.0,,11.0,8.0,10.0,88.5
Brewbakers Brewing Company,micro,11927 84th St Ne,Lake Stevens,98258,Snohomish,48.07243446,-122.0676933,2015,0,0,https://untappd.com/w/brewbakers-brewery-wa/219768,39,1.5,2.5,1.5,1.5,2.0,1.5,3.0,2.0,2.0,3.0,1.0,,21.5
Brick West Brewing Company,brewpub,1318 West 1St Ave Ste 1,Spokane,99201,Spokane,47.6565999,-117.4314751,2020,1,0,https://untappd.com/BrickWestBrewing,3,153.33,110.65,201.44,154.67,182.94,223.45,184.62,154.63,193.33,198.86,113.69,163.09,2034.7000000000005
Bron Yr Aur Brewing Company,micro,12160 Us Hwy 12,Naches,98937,Yakima,46.7386529,-120.73932,2015,0,0,https://untappd.com/BronYrAurBrew,13,20.17,20.17,27.5,21.75,25.92,26.7,28.44,32.02,24.14,24.04,10.32,18.54,279.71000000000004
Brother Ass Brewing,taproom,11700 NE 54Th Ct,Vancouver,98686,Clark,45.70626635,-122.6172247,2015,0,0,https://untappd.com/BrotherAssBrewing,18,4.29,14.37,,3.02,7.03,8.65,6.33,7.39,5.91,4.28,7.33,4.53,73.13
Brothers Cascadia Brewing,taproom,9811 NE 15th Ave,Vancouver,98665,Clark,45.69223,-122.655954,2017,0,0,https://untappd.com/BrothersCascadia,18,98.21,127.43,115.64,,195.27,124.47,105.48,72.43,98.12,84.7,92.9,72.81,1187.46
Bugu Brewing Company,taproom,14751 N Kelsey St Suite 107,Monroe,98272,Snohomish,47.8640911,-121.975192,2021,1,0,https://untappd.com/BuguBrewing,12,1.65,3.44,2.46,4.94,3.94,4.27,,11.49,4.29,4.05,4.06,5.7,50.29
Burke-Gilman Brewing Company,taproom,3626 NE 45th St #102,Seattle,98105,King,47.6614658,-122.288056,2018,1,0,https://untappd.com/BurkeGilmanBrewingCompany,46,34.2,33.1,,277.84,28.7,,83.3,,51.5,57.4,,17.9,583.9399999999999
Burwood Brewing Company,micro,1120 E St,Walla Walla,99362,Walla Walla,46.0933964,-118.2659,2014,1,0,https://untappd.com/BurwoodBrewingCompany,16,30.95,38.49,46.22,44.54,51.73,72.16,46.96,49.02,56.25,36.3,39.67,34.09,546.3800000000001
Byron Street Brewery,taproom,3388 NW Byron Street Suite 101,Silverdale,98383,Kitsap,47.6447357,-122.6956894,2022,0,0,https://untappd.com/w/byron-street/529245,23,,,,,,,,,2.5,5.5,4.0,2.5,14.5
Cairn Brewing,micro,7204 NE 175th St,Kenmore,98028,King,47.756734,-122.244177,2016,0,0,https://untappd.com/CairnBeer,1,26.0,10.5,43.5,28.5,43.5,31.0,33.0,38.0,36.0,34.0,31.5,12.5,368.0
Camas Brewing Company,taproom,335 NE Cedar St,Camas,98607,Clark,45.58542289,-122.4038144,2021,0,1,https://untappd.com/CamasBrewingCo,17,,,18.0,,-1.25,,,23.5,8.75,9.58,,,58.58
Camp Colvos Brewing,brewpub,17636 Vashon Hwy Sw,Vashon,98070,King,47.4464422,-122.4601578,2018,0,0,https://untappd.com/CampColvosBrewing,34,,55.8,32.6,37.9,41.9,,93.8,48.8,43.7,,66.4,29.9,450.7999999999999
Captain's Brewing Company,micro,Ridgefield,Ridgefield,98642,Clark,45.80739412,-122.7144115,2017,0,0,https://untappd.com/w/captain-s-brewing-company/389266,20,0.17,0.5,0.42,0.42,0.42,0.42,,,0.32,,,,2.67
Cardinal Craft Brewing,brewpub,15579 Peterson Rd,Burlington,98233,Skagit,48.47251215,-122.4098098,2016,0,0,https://untappd.com/CardinalCraftBrewing,40,,13.0,,,,5.0,,,1.0,1.0,6.0,,26.0
Chainline Brewing Company,brewpub,500 Uptown Court Suite 210,Kirkland,98033,King,47.678357,-122.198164,2015,1,0,https://untappd.com/ChainlineBrewingCompany,48,66.74,123.38,126.59,139.59,-0.29,262.77,136.94,179.1,161.48,88.73,95.47,84.98,1465.48
Chaos Bay Brewing Company,brewpub,1100 Perry Ave,Bremerton,98310,Kitsap,47.5703729,-122.6136835,2021,0,0,https://untappd.com/DerBlokkenBrewery,23,,,,,,,,,,7.0,5.0,4.0,16.0
Chief Spring's Fire and Irons Brewpub,micro,148 E Main St,Dayton,99328,Columbia,46.31924865,-117.9813348,2013,1,0,https://untappd.com/ChiefSpringsFireIronsBrewpub,9,,21.87,13.36,9.71,9.97,18.56,11.41,10.83,10.72,,17.52,10.7,134.65
Chuckanut Brewery,taproom,11937 Higgins Airport Way,Burlington,98233,Skagit,48.47346346,-122.4119584,2008,1,0,https://untappd.com/ChuckanutBrewery,40,263.4,283.3,465.2,291.1,351.45,389.8,349.3,457.6,322.6,-1.5,591.3,252.11,4015.66
Cloudburst Brewing,taproom,2116 Western Ave,Seattle,98121,King,47.61141494,-122.3449973,2015,1,0,https://untappd.com/CloudburstBrewing,43,139.42000000000002,159.64,181.46,175.84,167.88,181.92,166.44,196.28000000000003,168.52,164.29,147.81,150.56,2000.06
Cole Street Brewery,brewpub,2551 Cole Street-Suite R,Enumclaw,98022,King,47.2038796,-121.98903,2014,0,0,https://untappd.com/ColeStreetBreweryEnumclaw,31,2.0,,2.0,2.6,,,9.0,,,,,,15.6
Common Language Brewing Company,micro,"926 W Sprague Ave, Spokane, WA",Spokane,99201,Spokane,47.6575152,-117.4262344,2022,0,1,https://untappd.com/w/common-language-brewing/519175,3,,,47.0,15.0,22.5,3.0,50.0,22.0,10.0,42.0,13.0,4.5,229.0
Counterbalance Brewing Company,micro,503 S Michigan St Ste B,Seattle,98108,King,47.545389,-122.3305859,2015,0,1,https://untappd.com/Counterbalance,34,27.28,40.84,39.74,39.02,36.39,42.68,28.46,37.41,25.27,13.58,,,330.66999999999996
Cowiche Creek Brewing Company,micro,514 Thompson Rd,Cowiche,98923,Yakima,46.65831896,-120.6834142,2018,1,0,https://untappd.com/CowicheCreek,14,59.66,37.5,48.5,96.99,43.49,46.0,36.0,117.11,69.66,31.67,16.0,5.17,607.7499999999999
Crane's Castle Brewing Company,taproom,1550 NE Riddell Rd Suite #180,Bremerton,98310,Kitsap,47.60686,-122.6281819,2018,0,0,https://untappd.com/CranesCastleBrewing,23,7.2,7.78,10.53,8.33,9.7,9.47,9.95,9.38,7.7,9.5,7.53,8.04,105.11
Crooked Label Brewing Company,brewpub,773 Village Way,Monroe,98272,Snohomish,47.850331,-121.98083,2021,0,0,https://untappd.com/w/crooked-label-brewing-company/487482,12,6.0,6.0,6.0,6.0,6.0,9.0,9.0,12.0,12.0,12.0,12.0,9.0,105.0
Crossbuck Brewing,micro,410 N 2nd Ave,Walla Walla,99362,Walla Walla,46.07018805,-118.342071,2018,1,0,https://untappd.com/xbuckbrewing,16,16.69,10.34,18.87,22.11,21.68,,42.34,103.23,26.51,20.7,12.47,21.77,316.71
Crossed Arrows Brewery,taproom,14004 Purdy Dr Gig harbor,Gig Harbor,98332,Pierce,47.3853763,-122.6292102,2019,0,0,https://untappd.com/Crossed_Arrows_Brewery,26,,,,,,,,,,,,1.0,1.0
Crucible Brewing Company,micro,909 SE Everett Mall Way Ste D440,Everett,98208,Snohomish,47.91063493,-122.2196672,2015,0,0,https://untappd.com/CrucibleBrewing,38,49.92,110.51,133.32999999999998,131.26,167.38,,212.22,92.25,90.06,,67.28,263.27,1317.48
Cursed Brewing,taproom,3108 S Lloyd Ln,Spokane,99223,Spokane,47.6259653,-117.3437658,2022,1,1,https://untappd.com/CursedBrewing,9,,,,,,,,,,4.78,4.78,-3.06,6.5
Darach Brewing Company,taproom,1015 N State St,Bellingham,98225,Whatcom,48.74570657,-122.4813808,2022,0,1,https://untappd.com/v/darach-brewing-company/11718840,42,,,,,,,,,,,,5.5,5.5
Decibel Brewing Company,micro,18204 Bothell Everett Hwy Suite C,Bothell,98012,Snohomish,47.8332561,-122.2103369,2016,0,1,https://untappd.com/DecibelBrewing,1,,6.02,,,,,,,,,,4.52,10.54
Deep Draft Brewing,brewpub,3536 W Belfair Valley Rd,Bremerton,98312,Kitsap,47.5291651,-122.699005,2016,0,0,https://untappd.com/Deep_Draft_Brewing_Co,26,12.13,14.26,18.58,15.57,19.88,23.17,25.46,21.93,20.99,16.5,17.06,10.34,215.87
Diamond Knot Brewing Company,brewpub,621 Front St,Mukilteo,98275,Snohomish,47.94855427,-122.3049752,1993,1,0,https://untappd.com/diamondknot,21,207.84,214.13,375.71,296.93,367.95,308.92,274.73,370.69,279.6,282.43,311.28000000000003,183.75,3473.9599999999996
Dick's Brewing Company,taproom,3516 Galvin Road,Centralia,98531,Lewis,46.73549248,-122.9999643,1994,0,0,https://untappd.com/DicksBrewingCompany,20,208.76,89.05,,135.35,,101.57,,,197.75,,91.68,32.27,856.4300000000001
Dirty Couch Brewing,taproom,2715 W Fort St,Seattle,98199,King,47.66117377,-122.3919126,2017,0,0,https://untappd.com/DirtyCouchBrewing,36,,,,33.12,,17.28,,,,,61.86,,112.26
Discovery Bay Brewing,brewpub,948 North Park Ave,Port Townsend,98368,Jefferson,48.1066899,-122.8026616,2018,0,0,https://untappd.com/DiscoveryBayBrewing,24,7.1,6.56,9.29,10.45,11.77,11.19,14.37,13.36,11.2,9.48,4.74,6.3,115.81
District Brewing,taproom,520 Main St,Mt Vernon,98273,Skagit,48.41945088,-122.3387976,2021,1,0,https://untappd.com/w/district-brewing/461833,10,25.36,30.38,118.03,71.86,72.95,139.61,103.2,96.51,66.87,82.53,113.79,63.05,984.14
Doghaus Brewery,brewpub,321 9th St,Leavenworth,98826,Chelan,47.5948746,-120.660143,2015,1,0,https://untappd.com/DoghausBrewery,12,3.75,10.25,5.75,9.0,11.5,17.25,13.25,17.25,16.25,14.0,4.25,7.0,129.5
Doomsday Brewing Company,brewpub,421 C St Unit 1B,Washougal,98671,Clark,45.58082254,-122.3732983,2012,0,0,https://untappd.com/DoomsdayBrewingCompany,17,31.0,30.5,39.0,33.5,31.0,37.5,36.5,41.5,34.0,32.0,32.0,27.0,405.5
Double Bluff Brewing Company,micro,112 Anthes Ave,Langley,98260,Island,48.04026045,-122.4095264,2015,1,0,https://untappd.com/DBLFBrewing,10,8.23,9.35,14.84,14.03,14.03,12.58,16.94,14.35,12.42,11.29,12.1,6.77,146.92999999999998
Downpour Brewing,brewpub,10991 NE State Highway 104,Kingston,98346,Kitsap,47.80129209,-122.5002286,2014,0,0,https://untappd.com/Downpour_Brewing,23,,21.0,12.0,12.0,12.0,15.0,,12.0,24.0,,24.0,,132.0
Dreadnought Brewing,micro,16726 146th St SE Suite 153,Monroe,98272,Snohomish,47.864151,-122.006187,2015,0,0,https://untappd.com/DreadnoughtBrewing-brewer,12,4.5,4.0,5.5,,9.5,,8.5,,8.5,,9.0,,49.5
Dru Bru,micro,10 Pass Life Way,Snoqualmie Pass,98068,King,47.4211528,-121.4124,2014,1,0,https://untappd.com/DruBru,13,206.37,302.96,337.66,302.57000000000005,327.28999999999996,442.43,433.26,466.01,519.14,314.67,360.73,365.75,4378.84
Dubtown Brewing Company,brewpub,201 Main Avenue South,Renton,98057,King,47.481022,-122.2044169,2019,0,0,https://untappd.com/w/dubtown-brewing-company/436623,11,5.0,19.0,4.5,14.5,19.0,9.5,4.5,19.0,5.0,14.5,19.0,9.5,143.0
Dunagan Irish Pub and Brewery,micro,3222 56th St,Gig Harbor,98335,Pierce,47.252925,-122.439425,2021,0,0,https://untappd.com/DunaganBrewingCompany,27,,,5.5,4.5,,,3.0,,,6.0,,,19.0
Dungeness Brewing Company,micro,4017 S Mt Angeles Road,Port Angeles,98362,Clallam,48.088854,-123.418159,2012,0,0,https://untappd.com/DungenessBrewingCompany,24,,,,,,,,,0.8,0.8,,,1.6
Dwinell Country Ales,micro,206 West Broadway Street,Goldendale,98620,Klickitat,45.82292352,-120.8247793,2017,1,0,https://untappd.com/DwinellCountyAles,14,1.52,10.8,6.26,8.1,7.28,6.24,6.8,17.94,8.3,7.81,4.52,0.41,85.97999999999999
Dystopian State Brewing Company,micro,611 S Baker St,Tacoma,98402,Pierce,47.25836177,-122.4433036,2016,0,0,https://untappd.com/DystopianStateBrewingCompany,27,50.5,,7.8,,40.4,,,45.1,,,,25.8,169.6
E2W Brewing,micro,12913 Shady Glen Ave SE,Olalla,98359,Kitsap,47.432463,-122.594069,2020,0,1,https://untappd.com/E2WBrewing,26,1.75,2.42,3.09,2.0,,4.85,,,,,,,14.11
E9 Brewing Company,micro,2506 Fawcett Ave,Tacoma,98402,Pierce,47.238206,-122.440021,1995,0,0,https://untappd.com/EngineHouseNo9,27,142.89,187.39,221.89,225.03,208.38,230.98,218.46,232.84,1160.95,180.98,192.9,232.3,3434.99
Echoes Brewing Company,micro,19815 Viking Ave Nw,Poulsbo,98370,Kitsap,47.74292547,-122.6570659,2020,0,0,https://untappd.com/EchoesBrewing,23,17.85,16.83,35.91,28.83,31.35,34.09,38.18,47.59,39.53,43.83,40.55,31.84,406.38
Elk Head Brewing Company,micro,28120 Hwy 410 A-#10,Buckley,98321,Pierce,47.1590532,-122.05279,2005,0,0,https://untappd.com/CMORGANROTH,31,21.29,26.69,30.25,30.83,26.7,28.77,32.03,28.1,29.58,24.41,25.19,29.31,333.15000000000003
