brewery,satellite_location,flagship,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link,rating,total_visits,unique_visits,monthly_visits
Rattlesnake Mountain Brewing Company,,1,taproom,2696 N Columbia Center Blvd,Richland,99352,Benton,46.237587,-119.221937,1999,0,1,1,0,https://untappd.com/w/rattlesnake-mountain-brewing-company/15572,3.35,3319.0,1131.0,14.0
Ravenna Brewing Company,,1,taproom,5408 26th Ave Ne,Seattle,98105,King,47.66814202,-122.2994354,2015,0,1,1,0,https://untappd.com/RavennaBrewingCo,4.01,58259.0,10459.0,390.0
Recluse Brewing,,1,regional,4035 Grant St Suite 102,Washougal,98671,Clark,45.56246607,-122.326347,2022,1,0,0,0,https://untappd.com/RecluseBrewWorks,3.93,1276.0,658.0,143.0
Redhook Brewlab,,1,brewpub,714 E Pike St,Seattle,98122,King,47.61413993,-122.3230889,1982,0,0,0,0,https://untappd.com/Redhook,3.43,846987.0,312999.0,203.0
Remlinger Farm Brewery,,1,brewpub,32610 NE 32nd St,Carnation,98014,King,47.63908563,-121.9021766,2021,1,0,1,0,https://untappd.com/w/remlinger-brewing/521350,3.51,794.0,272.0,28.0
Republic Brewing Company,,1,brewpub,26 N Clark Ave,Republic,99166,Ferry,48.64801538,-118.737951,2011,1,1,1,0,https://untappd.com/RepublicBrewingCompany,3.7,2016.0,903.0,2.0
Resonate Brewery and Pizzeria,,1,regional,5606 119th Ave Se,Bellevue,98006,King,47.5521229,-122.1776163,2015,1,1,1,0,https://untappd.com/ResonateBrewery,3.68,13868.0,3131.0,23.0
Reuben's Brews,Ballard Taproom,1,regional,5010 14th Ave Nw,Seattle,98107,King,47.66540226,-122.3733006,2012,1,1,1,0,https://untappd.com/ReubensBrews,3.88,489725.0,103879.0,1279.0
Reuben's Brews,Production Brewery,0,micro,800 NW 46th St,Seattle,98107,King,47.6624119,-122.3665983,2012,1,1,1,0,https://untappd.com/ReubensBrews,3.88,489725.0,103879.0,1279.0
Reuben's Brews,Barrel House,0,regional,1133 NW 51st St,Seattle,98107,King,47.66556004,-122.3722199,2012,1,1,1,0,https://untappd.com/ReubensBrews,3.88,489725.0,103879.0,1279.0
Reuben's Brews,Fremont Taproom,0,brewpub,4401 Fremont Ave N,Seattle,98103,King,47.66034408,-122.35029,2012,1,1,1,0,https://untappd.com/ReubensBrews,3.88,489725.0,103879.0,1279.0
Ridgefield Craft Brewing Company,,1,micro,120 N 3rd Ave,Ridgefield,98642,Clark,45.81593797,-122.7448428,2021,0,0,1,0,https://untappd.com/RidgefieldCraftBrewingCo,3.75,3656.0,1796.0,14.0
River City Brewing,,1,taproom,121 S Cedar St,Spokane,99201,Spokane,47.65601288,-117.4322061,2012,0,1,1,1,https://untappd.com/RiverCityBrewing,3.73,22867.0,7976.0,4.0
River Mile 38 Brewing Company,,1,brewpub,285 Third Street,Cathlamet,98612,Wahkiakum,46.20545555,-123.3855916,2014,0,1,1,0,https://untappd.com/Rivermile,3.67,3803.0,1580.0,16.0
River Time Brewing,,1,taproom,660 Emens Ave,Darrington,98241,Snohomish,48.24905292,-121.6020432,2014,1,1,0,0,https://untappd.com/River_Time_Brewing,3.62,1815.0,835.0,5.0
Riverport Brewing Company,,1,micro,150 9th St,Clarkston,99403,Asotin,46.42640142,-117.0521262,2008,0,1,1,0,https://untappd.com/RiverportBrewingCompany,3.52,6273.0,2526.0,13.0
Rocky Coulee Brewing,,1,micro,205 N First St,Odessa,99159,Lincoln,47.3358965,-118.68838,2007,0,0,0,0,https://untappd.com/w/rocky-coulee-brewing-company/6856,3.13,1442.0,881.0,1.0
Rooftop Brewing Company,,1,taproom,1220 W Nickerson St,Seattle,98119,King,47.65543327,-122.3725435,2013,1,1,1,0,https://untappd.com/RooftopBrewCo,3.7,42248.0,16412.0,113.0
Rose Garage Brewing and Taps,,1,taproom,613 S Whitman Ave,Rosalia,99170,Whitman,47.23413,-117.37,2020,0,0,1,0,https://untappd.com/w/rose-garage/475853,3.73,52.0,29.0,0.0
Roslyn Brewing Company,,1,brewpub,208 Pennsylvania Ave Box 24,Roslyn,98941,Kittitas,47.2220541,-120.9949,1990,0,1,1,0,https://untappd.com/w/roslyn-brewing-company/8120,3.52,9011.0,4470.0,12.0
SAAL Brewing Company,,1,brewpub,10209 270th St Nw,Stanwood,98292,Snohomish,48.24167216,-122.3708879,2019,1,0,1,0,https://untappd.com/SAALBrewingCompany,3.9,1572.0,519.0,27.0
Saddle Rock Pub and Brewery,,1,taproom,25 N Wenatchee Ave,Wenatchee,98801,Chelan,47.42508078,-120.3116522,2011,0,1,1,0,https://untappd.com/SaddleRockPubBrewery,3.79,1075.0,586.0,7.0
Sage Brewing Company,,1,brewpub,8425 Chapel Hill Blvd Ste B 102,Pasco,99301,Franklin,46.270331,-119.200383,2019,0,0,1,0,https://untappd.com/Sage_Brewing,3.88,3033.0,838.0,33.0
Salish Sea Brewing Company,,1,brewpub,518 Dayton St,Edmonds,98020,Snohomish,47.80962938,-122.3769597,2013,0,1,1,0,https://untappd.com/SalishSeaBrewingCompany,3.67,17449.0,5593.0,39.0
Salish Sea Brewing Company,,0,brewpub,180 W Dayton St #102,Edmonds,98020,Snohomish,47.8089416,-122.3867089,2013,0,1,1,0,https://untappd.com/SalishSeaBrewingCompany,3.67,17449.0,5593.0,39.0
San Juan Island Brewing Company,,1,micro,410 A Street,Friday Harbor,98250,San Juan,48.53276441,-123.0150223,2018,1,1,1,0,https://untappd.com/SanJuanIslandBrewingCo,3.73,19418.0,7839.0,114.0
Savage Brewing Company,,1,micro,12815 NE 124th St I,Kirkland,98034,King,47.7102668,-122.1693396,2013,1,0,1,0,https://untappd.com/BrewingSavageCompany,3.84,4184.0,975.0,44.0
Scamp Brewing Company,,1,micro,402 16th St NE #107,Auburn,98002,King,47.32172545,-122.224216,2017,1,1,1,0,https://untappd.com/ScampBrewingCompany,3.68,3914.0,1179.0,0.0
Scuttlebutt Brewing Company,,1,micro,3310 Cedar Street,Everett,98201,Snohomish,47.97388911,-122.1940768,1996,1,1,1,0,https://untappd.com/ScuttlebuttBrewingCompany,3.51,121040.0,58554.0,168.0
Scuttlebutt Brewing Company,,0,brewpub,1205 Craftsman Way,Everett,98201,Snohomish,48.000862,-122.217199,1996,1,1,1,0,https://untappd.com/ScuttlebuttBrewingCompany,3.51,121040.0,58554.0,168.0
Scythe Brewing Company,,1,micro,1217 3rd Avenue Suite 150,Longview,98632,Cowlitz,46.13381,-122.92371,2021,0,0,1,0,https://untappd.com/w/scythe-brewing-co/520668,3.74,949.0,323.0,14.0
Seapine Brewing Company,,1,taproom,2959 Utah Ave S,Seattle,98134,King,47.57723323,-122.335249,2012,0,1,1,0,https://untappd.com/SeapineBrewing,3.83,64574.0,25182.0,308.0
Selah Springs Brewing Company,,1,micro,310 S 1st St,Selah,98942,Yakima,46.64962306,-120.5313354,2022,0,0,0,0,https://untappd.com/w/selah-springs-brewing-co/522035,3.8,38.0,25.0,0.0
Shellback Brewing,,1,micro,6400 w 13th ct,Kennewick,99338,Benton,46.19705,-119.20829,2020,0,0,1,0,https://untappd.com/w/shellback-brewing/517182,4.02,29.0,26.0,2.0
Shorthead Brewing,,1,micro,123 E Yakima Ave Ste 110,Yakima,98901,Yakima,46.60277707,-120.504983,2022,0,0,0,0,https://untappd.com/ShortheadBrewing,3.8,319.0,153.0,0.0
Shoug Brewing Company,,1,brewpub,1311 SE Cliffside Dr,Washougal,98671,Clark,46.19705,-119.20829,2017,0,1,1,0,https://untappd.com/w/shoug-brewing-company/360746,3.63,1844.0,1001.0,14.0
Sig Brewing Company,,1,regional,2534 Tacoma Ave S,Tacoma,98402,Pierce,47.23791051,-122.4411779,2020,0,0,1,0,https://untappd.com/SigBrewingCompany,3.94,27324.0,7747.0,231.0
Silver City Brewery,,1,regional,2799 NW Myhre Rd,Silverdale,98383,Kitsap,47.659485,-122.687646,2010,1,1,1,0,https://untappd.com/SilverCityBrewery,3.76,287823.0,82391.0,571.0
Silver City Brewery,,0,micro,206 Katy Penman Ave,Bremerton,98312,Kitsap,47.5615655,-122.678,2010,1,1,1,0,https://untappd.com/SilverCityBrewery,3.76,287823.0,82391.0,571.0
Singing Hops Brewing Company,,1,taproom,4817 RURAL RD SW,Olympia,98512,Thurston,46.19705,-119.20829,2017,0,0,1,0,https://untappd.com/SingingHops,3.89,2541.0,836.0,12.0
Single Hill Brewing Company,,1,micro,102 N Naches Ave,Yakima,98901,Yakima,46.60510315,-120.5004419,2018,1,0,1,0,https://untappd.com/SingleHillBrewing,3.92,49121.0,12472.0,651.0
Skagit River Brewing Company,,1,taproom,404 S Third St,Mount Vernon,98273,Skagit,48.419213,-122.33547,1999,1,0,0,0,https://untappd.com/SkagitRiverBrewery,3.49,14614.0,7259.0,43.0
Skep Brewing Company,,1,brewpub,723 N M St,Tacoma,98403,Pierce,47.2611966,-122.4615206,2019,0,0,1,0,https://untappd.com/SkepBrewing,,,,
Skookum Brewery,,1,brewpub,17925 59th Avenue Northeast,Arlington,98223,Snohomish,48.16310323,-122.1510524,2007,0,1,0,0,https://untappd.com/SkookumBrewery,4.03,146213.0,26814.0,221.0
Slippery Pig Brewing,,1,micro,18801 Front Street Ne,Poulsbo,98370,Kitsap,47.73353044,-122.6457393,2011,0,1,1,0,https://untappd.com/Slippery_Pig_Brewery,3.49,14510.0,4685.0,33.0
Sluggo Brewing,,1,taproom,409 E 26th St,Tacoma,98421,Pierce,47.23879176,-122.4288251,2015,0,1,0,0,https://untappd.com/w/sluggo-brewing/222565,3.67,1109.0,805.0,1.0
Snapshot Brewing,,1,brewpub,8005 Greenwood Ave N,Seattle,98103,King,47.68708447,-122.355422,2020,0,0,1,0,https://untappd.com/SnapshotBrewing,3.7,1307.0,672.0,7.0
Snipes Mountain Brewing,,1,micro,905 Yakima Valley Hwy Box 274,Sunnyside,98944,Yakima,46.3285926,-120.00832,2000,0,0,0,0,https://untappd.com/snipesmountain,3.6,19365.0,8527.0,2.0
Snoqualmie Falls Brewing Company,,1,taproom,8032 Falls Ave Se,Snoqualmie,98065,King,47.5286214,-121.8240977,1997,1,1,1,0,https://untappd.com/snoqualmiebrew,3.61,56980.0,22979.0,73.0
SnoTown Brewery,,1,brewpub,511 2nd St,Snohomish,98290,Snohomish,47.912584,-122.088239,2014,0,1,0,0,https://untappd.com/SnoTownBrewery,3.56,4523.0,1465.0,1.0
Snow Eater Brewing Company,,1,micro,2325 N Mckinzie Lane,Liberty Lake,99019,Spokane,47.6773601,-117.1000429,2020,1,0,1,0,https://untappd.com/SnowEaterBrewingCo,3.87,3269.0,670.0,18.0
Sound To Summit Brewing,,1,brewpub,1830 Bickford Ave,Snohomish,98291,Snohomish,47.9344682,-122.1049977,2015,1,0,0,0,https://untappd.com/SoundToSummitBrewing,3.74,19246.0,4594.0,144.0
Spada Farmhouse Brewery,,1,micro,709 1St St,Snohomish,98291,Snohomish,47.910685,-122.0924265,2017,0,1,0,0,https://untappd.com/SpadaFarmhouseBrewery,3.82,6469.0,1671.0,16.0
Square Wheel Brewing Company,,1,micro,4705 N Fruit Hill Rd,Spokane,99217,Spokane,47.69830588,-117.2495435,2017,0,1,1,0,https://untappd.com/w/square-wheel-brewing-co/218439,3.61,949.0,578.0,1.0
Squirrel Fight Artisan Brewing,,1,brewpub,530 W Valley Rd Suite N,Moses Lake,98837,Grant,47.13851877,-119.2859409,2020,0,0,1,1,https://untappd.com/SquirrelFightArtisanBrewing,3.9,993.0,292.0,1.0
Standard Brewing,,1,micro,2504 S Jackson St,Seattle,98144,King,47.59934851,-122.2996633,2013,0,1,1,0,https://untappd.com/v/standard-brewing/627145,,,,
Steam Donkey Brewing Company,,1,brewpub,101 E Wishkah St,Aberdeen,98520,Grays Harbor,46.974244,-123.81773,2018,1,1,1,0,https://untappd.com/SteamDonkeyBrewingCompany,3.76,5923.0,2086.0,39.0
Steam Plant Brewing Company,,1,taproom,159 S Lincoln,Spokane,99201,Spokane,47.6551818,-117.42474,2013,0,0,0,0,https://untappd.com/SteamPlantBrewing,3.56,11010.0,3415.0,0.0
Stemma Brewing Company,,1,taproom,2039 Moore St,Bellingham,98225,Whatcom,48.7575961,-122.4610244,2019,1,0,1,0,https://untappd.com/StemmaBrewingCo,3.89,15999.0,5093.0,154.0
Stones Throw Brewery,,1,brewpub,1009 Larrabee Ave,Bellingham,98225,Whatcom,48.71859508,-122.5042858,2015,0,1,1,0,https://untappd.com/w/stones-throw-brewery/251779,3.65,7519.0,3001.0,26.0
Stormy Mountain Brewing,,1,micro,133 E Woodin Ave,Chelan,98816,Chelan,47.84002015,-120.0184827,2016,0,0,0,0,https://untappd.com/StormyMountainBrewing,3.45,3082.0,1419.0,5.0
Stoup Brewing,Ballard,1,taproom,1108 NW 52nd St,Seattle,98107,King,47.666659,-122.3712168,2013,1,1,1,0,https://untappd.com/StoupBrewing,3.82,197173.0,45492.0,872.0
Stoup Brewing,Capitol Hill,0,taproom,1158 Broadway,Seattle,98122,King,47.61279997,-122.3205542,2013,1,1,1,0,https://untappd.com/StoupBrewing,3.82,197173.0,45492.0,872.0
Stoup Brewing,Kenmore,0,brewpub,6704 NE 181St St,Kenmore,98028,King,47.75963819,-122.2517308,2013,1,1,1,0,https://untappd.com/StoupBrewing,3.82,197173.0,45492.0,872.0
Structures Brewing,,1,micro,1420 N State St,Bellingham,98225,Whatcom,48.74961882,-122.4751162,2015,0,1,1,0,https://untappd.com/w/structures-brewing/238401,4.12,100061.0,18742.0,778.0
Sumerian Brewing Company,,1,taproom,15510 Woodinville Redmond Rd NE,Woodinville,98072,King,47.74,-122.153,2015,0,1,1,1,https://untappd.com/SumerianBrewery,3.72,35001.0,14537.0,4.0
Swinnerton Brewery,,1,micro,1809 8th St,Marysville,98270,Snohomish,48.0556186,-122.1707737,2016,0,1,1,0,https://untappd.com/w/swinnerton-brewery/208721,3.65,97.0,44.0,0.0
Tacoma Brewing Company,,1,brewpub,1116 Court E,Tacoma,98402,Pierce,47.25256333,-122.4437358,2012,0,1,0,0,https://untappd.com/TacomaBrewingCompany,3.76,6879.0,2506.0,0.0
Talking Cedar Brewery,,1,taproom,19770 Sargent Rd Sw,Rochester,98579,Thurston,46.8017008,-123.0157506,2020,1,0,1,0,https://untappd.com/TalkingCedarBrewing,3.79,8102.0,3741.0,69.0
Taneum Creek Brewing,,1,brewpub,811 Wa-970 #7,Cle Elum,98922,Kittitas,47.19379318,-120.9298215,2021,1,1,1,0,https://untappd.com/TaneumCreekBrewing,3.68,1516.0,705.0,13.0
Temperate Habits Brewing Company,,1,brewpub,500 S 1St St,Mt Vernon,98273,Skagit,48.419287,-122.337759,2021,0,0,1,0,https://untappd.com/w/temperate-habits-brewing-company/477378,3.77,1735.0,770.0,17.0
Ten Pin Brewing Company,,1,brewpub,1165 N Stratford Rd,Moses Lake,98837,Grant,47.14506241,-119.2781729,2013,1,1,1,0,https://untappd.com/TenPinBrewingCompany,3.72,27597.0,12988.0,46.0
Terramar Brewing and Distilling,,1,brewpub,5712 Gilkey Ave,Edison,98232,Skagit,48.5636192,-122.4438085,2021,1,0,1,0,https://untappd.com/TerramarBrewstillery,3.79,5904.0,2091.0,90.0
Best of Hands Barrelhouse,,1,brewpub,7500 35th Ave SW,Seattle,98126,King,47.535,-122.376,2019,0,0,1,0,https://untappd.com/BestOfHands,3.98,14636.0,4220.0,0.0
The Good Society Brewery,,1,brewpub,2701 California Ave Sw,Seattle,98116,King,47.579189,-122.386747,2020,1,0,1,0,https://untappd.com/goodsocietybeer,3.92,6447.0,1642.0,48.0
The Grain Shed,,1,brewpub,1026 E Newark Ave,Spokane,99202,Spokane,47.64914975,-117.3941562,2021,0,0,1,0,https://untappd.com/TheGrainShed,3.75,3157.0,1077.0,40.0
The Heavy Metal Brewing Company,,1,micro,809 Macarthur Blvd,Vancouver,98661,Clark,45.62792809,-122.618584,2017,1,1,1,0,https://untappd.com/TheHeavyMetalBrewingCo,3.69,6666.0,2009.0,26.0
The Hidden Mother Brewery,,1,taproom,1303 N. Washington St,Spokane,98406,Spokane,47.261918,-122.485637,2018,0,0,1,1,https://untappd.com/TheHiddenMotherBrewery,3.78,5317.0,2029.0,0.0
The Station U-Brew,,1,micro,211 W Stewart Ave,Puyallup,98371,Pierce,47.19328373,-122.2959375,2010,0,1,1,0,https://untappd.com/w/the-station-u-brew/16747,3.6,1752.0,414.0,2.0
Thirsty Crab Brewery,,1,micro,9000 WA-525,Clinton,98236,Island,47.97987418,-122.3592704,2016,1,1,1,0,https://untappd.com/w/thirsty-crab-brewery/522205,3.66,297.0,131.0,10.0
Three Bull Brewing,,1,taproom,809 19th St,Snohomish,98290,Snohomish,47.934463,-122.091729,2017,0,1,1,0,https://untappd.com/ThreeBullBrewingCo,3.72,2680.0,1449.0,15.0
Three Magnets Brewing,,1,micro,600 Franklin St SE Suite 102,Olympia,98501,Thurston,47.04311475,-122.8985644,2014,0,1,1,0,https://untappd.com/ThreeMagnetsBrewing,3.81,158547.0,41988.0,50.0
Timber Monster Brewing,,1,taproom,410 Main Street,Sultan,98294,Snohomish,47.86241184,-121.8162157,2018,0,0,0,0,https://untappd.com/w/timber-monster-brewing-company/388115,3.59,2344.0,937.0,0.0
Timber Patch Brewing,,1,taproom,180 2nd St,Morton,98356,Lewis,46.55580371,-122.2752505,2020,0,0,1,0,https://untappd.com/w/timber-patch-brewing/466510,3.75,654.0,255.0,6.0
Tin Dog Brewing,,1,taproom,309 S Cloverdale Street,Seattle,98108,King,47.5246936,-122.3313703,2014,0,1,1,0,https://untappd.com/TinDogBrewing,3.56,4249.0,2038.0,0.0
Top Down Brewing Company,,1,micro,15355 Main St,Sumner,98390,Pierce,47.2033083,-122.2442431,2000,0,0,1,0,https://untappd.com/TopDownBrewingCompany,3.83,2339.0,622.0,23.0
Top Frog Brewery,,1,taproom,221 Vista Dr,Newport,99156,Pend Oreille,48.18376927,-117.1586926,2014,0,1,0,0,https://untappd.com/w/top-frog-brewery/130102,3.47,884.0,419.0,0.0
Top Rung Brewing Company,,1,brewpub,8343 Hogum Bay Ln Ne,Lacey,98516,Thurston,47.07583,-122.763153,2014,1,1,1,0,https://untappd.com/TopRungBrewing,3.72,23800.0,7217.0,40.0
Trap Door Brewing,,1,alt prop,2315 Main St,Vancouver,98660,Clark,45.6386356,-122.6711185,2015,1,1,1,0,https://untappd.com/TrapDoorBrewingCo,3.99,78144.0,19656.0,317.0
Triceratops Brewing Company,,1,alt prop,8036 River Dr SE #203,Tumwater,98501,Thurston,46.9705449,-122.88462,2014,0,1,1,0,https://untappd.com/TriceratopsBrewingCompany,3.77,14535.0,5361.0,63.0
Triple R Brewing,,1,taproom,916 NE 64th Street,Seattle,98115,King,47.67506635,-122.3183608,2014,0,1,1,0,https://untappd.com/TripleRBrewing,3.59,756.0,460.0,8.0
Triplehorn Brewing Company,,1,brewpub,19510 144th Ave Ne,Woodinville,98072,King,47.76919839,-122.1476482,2012,1,1,0,0,https://untappd.com/TriplehornBrewing,3.72,46379.0,12459.0,52.0
TT's Old Iron Brewery,,1,brewpub,154 S Madison,Spokane,99201,Spokane,47.6185516,-117.25099,2017,0,0,1,0,https://untappd.com/TTsOldIronBrewery,3.79,3224.0,1152.0,24.0
Twin Sisters Brewing Company,,1,micro,508 Carolina Street,Bellingham,98225,Whatcom,48.76031192,-122.4689997,2018,1,0,1,0,https://untappd.com/TwinSistersBrewingCompany,3.74,9986.0,3538.0,34.0
Two Beers Brewing Company,,1,micro,4700 Ohio Ave S Unit A,Seattle,98134,King,47.56072271,-122.3379517,2008,0,1,1,0,https://untappd.com/TwoBeersBrewingCo,3.67,129801.0,44689.0,33.0
Two Sisters Honey and Brewery,,1,brewpub,500 Carolina St,Bellingham,98225,Whatcom,48.76004198,-122.4694035,2011,1,0,0,0,https://untappd.com/w/two-sisters-brewery/61640/beer,3.4,121.0,107.0,0.0
Uprise Brewing Company,,1,taproom,617 N Ash St,Spokane,99201,Spokane,47.66292668,-117.43655,2022,0,0,1,0,https://untappd.com/Uprise_Brewing_Co,3.88,3538.0,1163.0,108.0
Urban Family Brewing Company,,1,micro,1103 NW 52nd St,Seattle,98107,King,47.66613655,-122.3710204,2012,1,1,1,0,https://untappd.com/UrbanFamilyBrewing,3.93,240502.0,69494.0,669.0
V Twin Brewing Company,,1,taproom,2302 N Argonne Rd Suite H,Spokane Valley,99212,Spokane,47.67782868,-117.2826374,2017,0,1,0,0,https://untappd.com/VTwinBrewingCompany,3.54,1976.0,536.0,0.0
Valhöll Brewing Company,,1,taproom,18970 rd Ave Ne,Poulsbo,98061,Kitsap,47.7351943,-122.6454,2010,0,1,1,0,https://untappd.com/ValhollBrewing,3.73,21499.0,7952.0,25.0
Valley Brewing Company,,1,brewpub,3215 River Road,Yakima,98902,Yakima,46.61807448,-120.551908,2018,0,1,1,0,https://untappd.com/ValleyBrewingWA,3.95,8561.0,2625.0,24.0
Valley House Brewing Company,,1,micro,16111 Main St Ne,Duvall,98019,King,47.74335796,-121.9858577,2017,0,0,1,0,https://untappd.com/ValleyHouseBrewingCo,3.81,4167.0,1081.0,9.0
Varietal Beer Company,,1,micro,416 E Edison Ave,Sunnyside,98944,Yakima,46.32370381,-120.0154696,2017,1,1,0,0,https://untappd.com/VarietalBeerCo,3.98,50906.0,16240.0,292.0
Vashon Brewing,,1,taproom,17205 Vashon Hwy Sw,Vashon,98070,King,47.4505138,-122.4610462,2011,0,1,1,0,https://untappd.com/VashonBrewingCompany,3.62,2483.0,1180.0,0.0
Vice Beer,,1,taproom,705 SE Park Crest Avenue Suite D430,Vancouver,98683,Clark,45.61538937,-122.521748,2022,1,0,1,0,https://untappd.com/Vice_Beer,3.91,10762.0,3744.0,269.0
Victor 23 Craft Brewery,,1,taproom,2905 St John's Blvd,Vancouver,98661,Clark,45.64258,-122.646328,2016,0,1,1,0,https://untappd.com/Victor23Brewing,3.7,12103.0,4791.0,78.0
Volition Brewing Company,,1,brewpub,43525 se 76th ST,Snoqualmie,98065,King,47.49516514,-121.7860501,2019,1,0,1,0,https://untappd.com/VolitionBrewingCo,3.9,8395.0,2025.0,51.0
Walking Man Brewing,,1,taproom,240 1St Street #3,Stevenson,98648,Skamania,45.69248008,-121.8838479,2003,0,0,1,0,https://untappd.com/WalkingManBrewing,3.67,35931.0,15501.0,9.0
Wander Brewing,,1,taproom,1807 Dean Ave,Bellingham,98225,Whatcom,48.75426712,-122.4737586,2014,1,1,1,0,https://untappd.com/WanderBrewing,3.86,98061.0,26426.0,188.0
Wandering Hop Brewery,,1,taproom,508 N 20th Ave,Yakima,98902,Yakima,46.6052949,-120.53703,2019,0,1,1,0,https://untappd.com/WanderingHop,3.94,11164.0,3177.0,40.0
Wandering Hop Brewery,,0,micro,508 N 20th Ave,Yakima,98902,Yakima,46.60572142,-120.5358957,2019,0,1,1,0,https://untappd.com/WanderingHop,3.94,11164.0,3177.0,40.0
Water Buffalo Brewery,,1,micro,136 Russet Road,Walla Walla,99362,Walla Walla,46.0522023,-118.40608,2020,1,1,1,0,https://untappd.com/WaterBuffaloBrewery,3.77,796.0,339.0,5.0
Watts Brewing Company,,1,brewpub,15510 Redmond - Woodinville Rd NE #E110,Woodinville,98072,Snohomish,47.74011203,-122.1537687,2015,1,1,0,0,https://untappd.com/WattsBrewingCompany,3.75,5384.0,2559.0,54.0
Well 80 Brewing Company,,1,taproom,514 4th Ave E,Olympia,98501,Thurston,47.04534571,-122.8964257,2021,1,0,1,0,https://untappd.com/Well80Brewhouse,3.83,14744.0,4150.0,50.0
Wenatchee Valley Brewing Company,,1,brewpub,108 E Island View Street,Wenatchee,98801,Chelan,47.434948,-120.31472,2016,1,1,0,0,https://untappd.com/WenatcheeValleyBrewingCompany,3.64,5582.0,1993.0,19.0
West Seattle Brewing Company,,1,brewpub,4414 Fauntleroy Way Sw,Seattle,98126,King,47.5642194,-122.3776803,2013,0,1,1,0,https://untappd.com/WestSeattleBrewingCo,3.53,7975.0,3424.0,0.0
West Seattle Brewing Company,,0,taproom,2356 Alki Ave Sw,Seattle,98116,King,47.58228,-122.4024341,2013,0,1,1,0,https://untappd.com/WestSeattleBrewingCo,3.53,7975.0,3424.0,0.0
Western Red Brewing,,1,taproom,19168 Jensen Way Ne,Poulsbo,98370,Kitsap,47.7370261,-122.6466751,2018,1,1,1,0,https://untappd.com/WesternRedBrewing,3.68,7572.0,2565.0,56.0
Wet Coast Brewing Company,,1,micro,6820 Kimball Dr Suite C,Gig Harbor,98335,Pierce,47.32100098,-122.5871411,2015,1,0,0,0,https://untappd.com/WetCoastBrewing,3.78,25438.0,8048.0,49.0
Wheelie Pop Brewing,,1,taproom,1110 NW 50th St,Seattle,98107,King,47.6651248,-122.3710279,2020,0,0,0,0,https://untappd.com/WheeliePopBrewing,3.74,6646.0,2508.0,80.0
Whipsaw Brewing,,1,taproom,704 N Wenas St,Ellensburg,98926,Kittitas,46.99859732,-120.5555012,2016,0,1,1,0,https://untappd.com/WhipsawBrewing,3.71,10332.0,3888.0,70.0
Whistle Punk Brewing Company,,1,micro,122 S Monroe,Spokane,99201,Spokane,47.6559616,-117.42673,2016,1,1,1,0,https://untappd.com/WhistlePunkBrewing,3.92,17717.0,3516.0,106.0
White Bluffs Brewing,,1,taproom,2034 Logston Blvd,Richland,99354,Benton,46.31881569,-119.3015375,2011,1,1,1,0,https://untappd.com/w/white-bluffs-brewing/10846,3.84,18943.0,7523.0,33.0
Whitewall Brewing Company,,1,taproom,14524 Smokey Point Blvd,Marysville,98271,Snohomish,48.12819955,-122.1843224,2014,1,1,0,0,https://untappd.com/WhitewallBrewingCompany,3.74,10541.0,3362.0,7.0
Wicked Teuton Brewing Company,,1,brewpub,1341 SW Barlow St,Oak Harbor,98277,Island,48.28738818,-122.6599142,2017,0,1,1,0,https://untappd.com/WickedTeutonBrewingCompany,3.67,2157.0,622.0,6.0
Wild Man Brewing Company,,1,micro,203 Duryea St,Raymond,98577,Pacific,46.68666224,-123.7343282,2021,0,0,1,0,https://untappd.com/WildManBrewing,3.78,3367.0,1207.0,31.0
Wild Oak Project,,1,brewpub,5229 144th St SE,Everett,98208,Snohomish,47.86718627,-122.160425,2022,0,0,1,0,https://untappd.com/WildOakProject,3.89,665.0,370.0,0.0
Willapa Brewing Company,,1,taproom,405 Minnesota St,South Bend,98586,Pacific,46.66534241,-123.7923129,2018,0,1,0,0,https://untappd.com/WillapaBrewingCo,3.75,2514.0,815.0,27.0
Yaya Brewing Company,,1,taproom,11712 E Montgomery Dr,Spokane Valley,99206,Spokane,47.674922,-117.247451,2020,1,0,1,0,https://untappd.com/YaYaBrewingCompany,3.94,13166.0,6036.0,56.0
Yoked Farmhouse and Brewery,,1,taproom,525 SW Pine Rd SW,Port Orchard,98376,Kitsap,47.41845427,-122.6545476,2020,0,0,1,0,https://untappd.com/YokedFarmhouseBrewery,3.91,1757.0,467.0,21.0
Captain's Brewing Company,,1,micro,Ridgefield,Ridgefield,98642,Clark,45.80739412,-122.7144115,2017,0,1,1,0,https://untappd.com/w/captain-s-brewing-company/389266,3.01,93.0,74.0,0.0
45 Degree Brewhouse,,1,brewpub,10421 E Sprague Ave,Spokane Valley,99206,Spokane,47.65741858,-117.2644514,2022,0,0,1,0,https://untappd.com/w/45-degree-brewhouse/530239,3.89,281.0,73.0,2.0
Another Round Brewing Company,,1,brewpub,745 N Grand Ave #102,Pullman,99163,Whitman,46.73590969,-117.1759123,2021,0,0,1,0,https://untappd.com/AnotherRoundBrewingCo/beer,3.72,865.0,222.0,8.0
Rock and Reef Brewing,,1,micro,416 S Main St,Ellensburg,98926,Kittitas,46.99613501,-120.5484251,2022,0,0,1,0,https://untappd.com/w/enchantment-brewing/529607,3.63,383.0,144.0,21.0
