brewery,satellite_location,flagship,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,production_data_2017,production_data_2022,closed_since_2022,untappd_profile_link,rating,total_visits,unique_visits,monthly_visits
Lovecraft Brewing Company,,1,brewpub,275 5th Street Suite 101,Bremerton,98337,Kitsap,47.56640891,-122.6257846,2016,0,1,1,0,https://untappd.com/LoveCraftBrewingCompany,3.54,3451.0,1272.0,1.0
Lowercase Brewing,,1,micro,6235 Airport Way S,Seattle,98108,King,47.547723,-122.3146203,2014,1,1,1,0,https://untappd.com/Lowercasebeer,3.73,25511.0,9099.0,83.0
Lucky Envelope Brewing,,1,micro,907 NW 50th Street,Seattle,98107,King,47.66495806,-122.3688462,2015,1,1,0,0,https://untappd.com/LuckyEnvelopeBrewing,3.75,59659.0,19109.0,293.0
Lumber House Brewery,,1,micro,21830 284th Ave SE,Maple Valley,98038,King,47.32607774,-122.0103551,2015,0,1,1,0,https://untappd.com/LumberHouseBrewery,3.72,6199.0,1764.0,8.0
Lumberbeard Brewing,,1,regional,25 E 3rd Ave,Spokane,99202,Spokane,47.653684,-117.41007,2020,1,0,1,0,https://untappd.com/LumberbeardBrewing,3.96,38640.0,13161.0,398.0
Mac and Jack's Brewing Company,,1,micro,17825 NE 65th St,Redmond,98052,King,47.66369585,-122.102815,1993,1,1,1,0,https://untappd.com/MacJacksBrewingCompany,3.68,137378.0,64870.0,281.0
Machine House Brewery,,1,taproom,5718 Rainier Ave S,Seattle,98118,King,47.5507121,-122.277164,2013,1,1,1,0,https://untappd.com/MachineHouseBrewery,3.69,32700.0,11374.0,101.0
Maelstrom Brewing Company,,1,brewpub,11014 120th Ave Ne,Kirkland,98033,King,47.69913819,-122.1809653,2017,0,1,0,0,https://untappd.com/MaelstromBrewing,3.7,4953.0,1035.0,11.0
Magnuson Cafe and Brewery,,1,micro,7801 62nd Ave Ne,Seattle,98115,King,47.6881653,-122.2649134,2018,1,0,1,0,https://untappd.com/MagnusonCafeBrewery,3.63,5071.0,1867.0,37.0
Maritime Pacific Brewing Company,,1,brewpub,1111 NW Ballard Way,Seattle,98107,King,47.66284715,-122.371031,1990,1,1,0,0,https://untappd.com/MaritimePacificBrewingCompany,3.57,77867.0,32348.0,79.0
Masters Brewhouse,,1,micro,831 S Main St,Deer Park,99006,Spokane,47.945254,-117.4751514,2020,0,0,0,0,https://untappd.com/w/masters-brewhouse/420247,3.75,675.0,218.0,4.0
