brewery,brewery_type,address,city,zipcode,county,latitude,longitude,year_established,guild_member,closed_since_2022,untappd_profile_link,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
Badass Backyard Brewing,brewpub,1415 N Argonne Rd,Spokane Valley,99212,Spokane,47.66990294,-117.282921,2015,1,0,https://untappd.com/Badass-Backyard-Brewing,3.0,3.0,3.0,3.0,2.5,2.0,4.5,4.5,1.0,3.67,6.33,9.0,45.5
Badger Mountain Brewing Company,taproom,1 Orondo Avenue,Wenatchee,98801,Chelan,47.423866,-120.309043,2013,0,0,https://untappd.com/BadgerMountainBrewing,11.0,27.05,43.1,22.59,29.4,28.74,28.64,21.66,26.81,11.61,14.06,21.25,285.91
Bainbridge Brewing Company,taproom,9415 Coppertop Loop Suite 103-104,Bainbridge Island,98110,Kitsap,47.65010066,-122.5194436,2012,1,0,https://untappd.com/BainbridgeIslandBrewing,62.22,58.44,79.15,92.48,83.84,83.22,113.68,104.54,91.84,100.46,68.35,71.56,1009.78
Bale Breaker Brewing Company,taproom,1801 Birchfield Rd,Yakima,98901,Yakima,46.577022,-120.435339,2013,1,0,https://untappd.com/BaleBreakerBrewing,1535.06,1276.72,1822.97,1900.88,1802.26,2140.11,2302.83,2282.84,1709.75,1536.51,2088.51,1416.19,21814.63
Bardic Brewing and Cider,brewpub,15412 E Sprague Ave Suite 14,Spokane Valley,99037,Spokane,47.65694705,-117.197867,2019,0,0,https://untappd.com/Bardic_Brewing,3.32,1.88,2.9,3.91,3.7,3.49,1.79,3.36,4.93,5.99,7.06,8.12,50.45
Barhop Brewing,brewpub,124 W Railroad Ave,Port Angeles,98362,Clallam,48.12089402,-123.4325304,2011,0,0,https://untappd.com/BarhopBrewing,42.0,42.0,83.0,51.0,84.0,117.0,57.0,63.5,70.0,82.83,52.03,35.88,780.24
Barley POP! Brewing,micro,4715 86th pl ne,Marysville,98270,Snohomish,48.05181215,-122.1772295,1999,1,0,https://untappd.com/BarleyPOPBrewing,,,,,,3.5,3.0,,2.43,0.85,1.85,1.5,
Barlow's Brewery,brewpub,705 SE Park Crest Ave Suite D430,Vancouver,98683,Clark,45.61626235,-122.5222064,2020,0,1,https://untappd.com/BarlowsBrewery,5.48,,,0.67,,,,,,,,,
Barrel Mountain Brewing,brewpub,607 E Main St,Battle Ground,98604,Clark,45.78085889,-122.5309307,2016,0,0,https://untappd.com/BarrelMountainBrewing,106.29,111.75,167.61,153.19,191.01,183.67,143.91,209.85,156.76,150.98,152.74,121.47,1849.23
Bastion Brewing Company,taproom,12529 Christianson Rd,Anacortes,98221,Skagit,48.4617823,-122.5706139,2016,0,0,https://untappd.com/BastionBrewingCompany,,,,,,,113.55,85.4,,51.4,,57.3,
Beach Cat Brewing,brewpub,7876 Birch Bay Dr #101,Blaine,98230,Whatcom,48.92825894,-122.7382271,2021,1,0,https://untappd.com/w/beach-cat-brewing/461545,21.0,21.0,16.0,18.0,46.5,49.5,52.5,61.75,71.0,18.0,23.0,13.5,411.75
Beardslee Public House,brewpub,19116 112th Ave Ne,Bothell,98011,Snohomish,47.7662638,-122.191975,2015,1,0,https://untappd.com/w/beardslee-public-house/159258,32.5,37.0,52.0,27.5,55.5,39.5,50.0,57.5,44.5,30.0,29.5,53.0,508.5
Bellevue Brewing Company,taproom,1820 130th Avenue NE Suite 2,Bellevue,98005,King,47.62658291,-122.1669286,2011,1,0,https://untappd.com/bellevuebrewingcompany,40.89,57.15,69.68,73.89,65.29,60.8,114.79,69.48,123.56,88.04,94.34,120.66,978.57
Bellwether Brewing Company,brewpub,2019 N Monroe Street,Spokane,99205,Spokane,47.67599738,-117.4267963,2016,0,0,https://untappd.com/BellwetherBrewingCompany,7.0,23.66,12.33,13.16,19.67,22.66,14.67,11.83,21.84,19.16,20.0,16.16,202.14
Bennidito's Brewpub,taproom,1909 E Sprague,Spokane,99202,Spokane,47.657375,-117.382272,2016,0,0,https://untappd.com/w/bennidito-s-brew-pub/212553,37.01,19.89,36.38,35.0,44.0,37.16,14.66,43.76,72.86,45.76,38.57,31.38,456.43
Bent Bine Brewing Company,taproom,23297 State Route 3,Belfair,98528,Mason,47.444987,-122.832246,2017,0,0,https://untappd.com/BentBineBrewCo,39.3,39.3,24.4,9.5,10.71,11.92,31.76,51.6,42.67,33.73,24.8,24.8,344.49
Berchmans Brewing Company,nano,25 North Front Street,Yakima,98901,Yakima,46.602834,-120.507761,2014,0,1,https://untappd.com/BerchmansBrewingCompany,,,1.0,,,,,,,1.0,1.0,,
Best of Hands Barrelhouse,brewpub,7500 35th Ave SW,Seattle,98126,King,47.535,-122.376,2019,0,0,https://untappd.com/BestOfHands,15.25,10.25,17.57,18.89,13.31,18.28,29.88,10.26,23.33,16.92,15.16,15.16,204.26
Bickersons Brewhouse,taproom,4710 NE 4th St #C105,Renton,98059,King,47.488866,-122.155393,2021,1,0,https://untappd.com/BickersonsBrewhouse,11.61,24.05,16.28,18.25,29.08,28.01,34.79,62.85,42.11,61.94,21.28,19.77,370.02
Big Block Brewing,taproom,3310 E Lake Sammamish Pkwy SE,Sammamish,98074,King,47.5796686,-122.0741734,2014,0,0,https://untappd.com/bigblockbrews,36.06,55.26,53.65,25.39,48.1,58.61,37.26,43.58,54.39,43.19,46.52,8.71,510.72
Big House Brewpub,brewpub,11 S Palouse St,Walla Walla,99362,Walla Walla,46.0690413,-118.3347678,2019,1,0,https://untappd.com/BigHouseBrewPub,39.0,21.0,21.0,35.0,49.0,28.0,41.0,54.0,67.0,58.67,50.33,42.0,506.0
Big Time Brewery,brewpub,4133 University Ave NE,Seattle,98105,King,47.65795447,-122.3136539,1988,0,0,https://untappd.com/BigTimeBrewingCompany,83.5,83.5,54.75,56.0,57.25,89.1,120.95,97.5,62.0,78.12,94.25,94.25,971.17
