brewery_wa,brewery_prod,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
lucky envelope brewing,LUCKY ENVELOPE BREWING,67.11,52.6,105.46,74.98,128.61,91.49,94.48,116.78,76.76,72.06,36.79,53.76,970.88
lumber house brewery,LUMBER HOUSE BREWERY,15.5,21.25,26.33,20.51,16.66,14.5,19.57,14.32,19.33,14.0,29.28,8.5,219.75
lumberbeard brewing,LUMBERBEARD BREWING,67.97,77.71,104.38,98.07,117.04,126.81,130.16,101.51,87.35,93.16,91.48,66.37,1162.01
mac and jack's brewing company,MAC & JACKS BREWERY INC.,1951.9,1841.37,1780.41,2036.64,2171.85,2776.15,2052.96,2412.73,2378.33,2225.78,1902.2,1755.14,25285.46
machine house brewery,MACHINE HOUSE BREWERY,21.4,29.31,49.13,62.74,19.61,23.38,37.33,42.69,19.65,49.69,39.79,21.1,415.8200000000001
maelstrom brewing company,MAELSTROM BREWING COMPANY,3.71,4.41,5.21,4.61,4.6,6.13,6.23,4.76,4.78,3.54,3.22,2.96,54.16
magnuson cafe and brewery,MAGNUSON BREWERY,22.0,16.4,26.5,27.85,32.0,39.0,,96.81,34.0,,36.09,7.4,338.04999999999995
maritime pacific brewing company,MARITIME PACIFIC BREWING COMPANY,76.87,86.28,126.65,117.02,122.58,146.16,146.35,152.79,160.75,399.9,183.03,131.69,1850.0699999999997
masters brewhouse,MASTERS BREWHOUSE,,36.85,20.25,21.0,21.09,17.7,35.82,15.0,18.3,,34.0,22.9,242.91000000000005
matchless brewing,MATCHLESS,177.36,197.76,248.54,241.68,245.42,271.58,256.93,342.29,352.67,191.73,239.84,260.11,3025.9100000000003
mcmenamins anderson school brewery,MCMENAMINS ANDERSON SCHOOL,141.64,80.46,98.34,278.65,137.19,99.78,83.29,146.47,120.75,104.38,104.73,101.79,1497.4700000000005
mcmenamins elks temple,MCMENAMINS ELKS TEMPLE BREWERY,110.25,74.5,72.75,197.75,96.5,126.5,99.0,105.0,96.25,71.0,80.5,73.5,1203.5
mcmenamins kalama harbor lodge,MCMENAMINS KALAMA HARBOR LODGE BREWERY,36.25,22.75,27.0,99.75,41.22,68.5,46.75,60.94,59.5,37.25,31.0,34.75,565.66
mcmillin farm brewhouse,MCMILLIN FARM,,,,,,,,,,,1.94,0.9,2.84
meatheads smokehouse and beer works,MEATHEADS SMOKEHOUSE AND BEER WORKS,193.0,,,,130.0,,,,,,229.0,,552.0
menace brewing,MENACE BREWING,38.24,,31.3,21.03,17.89,,,,72.32,20.96,,36.74,238.48
middleton brewing,MIDDLETON BREWING,12.0,8.0,14.0,,,22.0,22.0,,,,42.0,,120.0
milepost 111 brewing company,MILEPOST 111 BREWING COMPANY,1.5,,3.16,,,5.83,2.93,,2.33,,,2.0,17.75
millwood brewing company,MILLWOOD BREWING COMPANY,15.04,16.72,19.66,18.91,18.21,15.93,14.38,16.24,10.8,10.19,14.53,19.95,190.56
mirage beer company,MIRAGE BEER,1.59,18.17,17.76,21.61,15.19,10.27,6.57,22.42,7.43,17.2,19.81,11.16,169.17999999999998
monka brewing company,MONKA BREWING COMPANY,,6.0,6.0,9.0,,9.0,3.0,15.0,3.0,9.0,,9.0,69.0
moonshot brewing,MOONSHOT BREWING,13.91,18.74,22.3,18.55,21.81,22.16,24.06,20.64,21.75,19.86,16.21,15.11,235.1
mother fern brewing,MOTHER FERN BREWING,61.0,47.75,107.0,148.0,,297.0,91.5,216.0,,,147.5,125.0,1240.75
mount olympus brewing,MOUNT OLYMPUS BREWING,,85.67,,,95.97,,57.01,,86.22,,39.12,67.9,431.89
mountain lakes brewing company,MOUNTAIN LAKES BREWING COMPANY,5.84,8.17,9.01,14.6,,24.19,9.17,10.36,4.84,13.69,9.01,,108.88
mule and elk brewing company,MULE AND ELK BREWING COMPANY,9.59,12.42,16.03,,11.79,10.36,8.44,11.97,21.04,5.19,14.57,15.9,137.29999999999998
métier brewing company,METIER BREWING COMPANY,27.66,56.63,59.08,56.52,51.11,108.12,44.9,139.06,87.6,59.99,40.77,28.37,759.8100000000001
narrows brewing company,NARROWS BREWING COMPANY,137.17,118.41,211.22,201.78,255.36,211.05,194.71,305.47,163.76,170.56,207.36,110.21,2287.0600000000004
natural 20 brewing company,NATURAL 20 BREWING CO.NATURAL 20 BREWING CO,,,50.0,52.0,,,,86.0,,,,75.0,263.0
new maitland brewing llc,NEW MAITLAND BREWING LLC,,,,,,,1.99,2.32,1.44,0.57,0.08,0.16,6.5600000000000005
no boat brewing company,NOBOAT BREWING COMPANY,19.5,47.5,32.0,42.0,42.0,69.75,49.0,56.5,62.0,47.0,46.0,45.25,558.5
no drought brewing company,NO DROUGHT BREWING COMPANY,13.47,6.98,7.39,7.72,,,19.38,,22.82,,,13.27,91.03
no-li brewhouse,NO-LI BREWHOUSE,742.06,954.51,1113.38,1408.5700000000002,1056.81,1246.7,1396.96,1295.5,1409.41,1226.51,1029.92,1344.53,14224.86
north 47 brewing company,NORTH 47 BREWING CO.,18.0,18.0,26.0,8.5,16.0,18.0,21.0,20.0,24.0,15.0,19.5,9.0,213.0
north fork brewery,NORTH FORKNORTH FORK BARREL HOUSE & BEER SHRINE,27.29,22.84,34.48,29.32,33.06,28.55,45.32,48.45,37.74,28.869999999999997,26.0,27.61,389.53
north jetty brewing,NORTH JETTY BREWING,21.34,48.42,62.93,45.15,61.44,56.48,64.74,82.77,65.1,60.03,21.96,48.65,639.01
north sound brewing company,NORTH SOUND BREWING CO,20.35,25.52,28.86,25.51,28.53,31.55,30.54,32.7,28.34,28.36,24.02,23.69,327.97
northern ales,NORTHERN ALES,,3.27,13.0,14.35,,,15.02,11.5,,,38.3,11.5,106.94
northwest brewing company,NORTHWEST BREWERY WORKSNORTHWEST BREWING COMPANY,161.9,73.0,189.6,,59.3,,47.0,88.4,,-2.67,73.3,,689.8299999999999
northwest peaks brewery,NORTHWEST PEAKS BREWERY,10.0,12.0,12.0,16.0,,20.0,,,,,,,70.0
northwood public house and brewery,NORTHWOOD PUBLIC HOUSE AND BREWERY,,1.83,,7.25,,5.91,,,8.0,3.83,,2.0,28.82
nun chuck's brewing company,NUN CHUCKS BREWING,2.03,3.85,2.5,3.86,4.67,4.27,5.47,7.25,4.22,6.72,,11.54,56.379999999999995
obec brewing,OBEC BREWING,24.6,22.65,21.13,41.36,,116.65,50.34,56.23,51.27,36.38,51.04,41.31,512.96
odd otter brewing company,ODD OTTER BREWING COMPANY,,43.59,,,72.42,,,86.0,,,60.75,,262.76
odin brewing company,ODIN BREWING COMPANY,63.58,32.64,-0.13,150.87,52.0,69.0,46.0,71.0,85.6,41.0,39.0,,650.5600000000001
off camber brewing,OFF-CAMBER BREWING,,,26.44,,,33.79,,,,,,59.08,119.31
ogres brewing,OGRES BREWING,2.7,3.93,4.5,3.5,3.5,4.67,5.5,5.5,5.0,4.0,3.0,3.5,49.3
old schoolhouse brewery,OLD SCHOOLHOUSE BREWERY,,271.17,185.9,181.3,,150.39999999999998,155.10000000000002,407.36,,187.4,,235.6,1774.23
old stove brewing company,OLD STOVE BREWING COMPANY,173.49,120.47,109.55,231.49,241.14,310.66999999999996,204.31,256.68,159.51,148.66,125.22,111.82,2193.01
optimism brewing company,OPTIMISM BREWING,61.7,115.79,143.2,115.1,111.5,142.86,116.1,120.0,135.35,,236.98,89.7,1388.28
otherlands beer,OTHERLANDS BEER,,42.13,,33.12,,,98.33,,58.48,,86.31,,318.37
outer planet craft brewing,OUTER PLANET CRAFT BREWING,4.31,,10.42,4.39,5.4,6.58,6.64,5.59,5.53,6.43,4.98,4.84,65.10999999999999
outlander brewery and pub,OUTLANDER BREWERY AND PUB,14.0,7.32,,10.0,,19.0,21.15,6.88,4.0,3.5,,14.5,100.35
paper street brewing company,PAPER STREET BREWING COMPANY,,15.0,,,10.3,,,24.0,,,26.0,29.0,104.3
paradise creek brewery,PARADISE CREEK BREWERY,47.38,49.02,43.02,128.27,69.75,70.97,88.99,75.59,52.06,46.37,46.33,35.69,753.44
paramour brewing company,PARAMOUR BREWING CO.,3.0,,,,3.0,4.0,6.0,6.0,6.0,10.0,,9.0,47.0
pastime brewery,PASTIME BREWERY BAR & GRILL,3.85,5.04,5.74,8.58,9.14,8.23,9.14,8.0,6.4,8.37,5.27,8.82,86.58
peace of mind brewing,PEACE OF MIND BREWING,,,,0.5,,,5.0,,,,31.0,,36.5
peddler brewing company,PEDDLER BREWING COMPANY,15.52,7.5,-7.9,,,,,,,,,,15.12
penn cove brewing company,PENN COVE TAPROOMPENN COVE TAPROOM - FREELAND,26.16,29.34,51.36,33.02,46.669999999999995,57.59,142.57,112.0,99.79,46.66,39.63,21.59,706.3799999999999
perfect circle brewing,PERFECT CIRCLE BREWING,,5.83,,1.5,2.5,,4.5,8.5,3.0,,6.5,,32.33
perihelion brewery,PERIHELION BREWERY,19.71,33.93,12.64,5.9,60.63,31.79,19.74,26.58,38.27,27.89,34.63,20.61,332.31999999999994
perry street brewing,PERRY STREET BREWING COMPANY,53.0,42.5,42.5,29.0,37.25,64.0,35.5,46.0,42.0,45.5,29.5,57.0,523.75
pike brewing company,PIKE BREWING COMPANY AND LIBERTY MALT SUPPLY,264.72,222.27,300.07,307.71,301.03,527.75,349.19,375.46,468.11,508.14,420.38,367.06,4411.89
pint size brewing,PINT SIZE BREWING,2.34,3.06,3.52,2.33,3.63,2.3,0.63,2.51,2.67,2.67,,,25.659999999999997
port townsend brewing company,PORT TOWNSEND BREWING CO.,45.0,60.0,,,150.0,,375.0,,150.0,,90.0,,870.0
postdoc brewing,POSTDOC BREWING COMPANY,83.6,89.69,126.04,114.98,98.6,153.98,151.09,156.95,104.12,119.67,81.22,104.77,1384.71
potlatch brewing company,POTLATCH BREWING CO.,3.66,8.44,,6.1,27.42,,27.32,13.5,15.93,9.36,10.22,,121.95
powerhouse restaurant and brewery,POWERHOUSE RESTAURANT AND BREWERY,13.0,26.0,13.0,,78.0,13.0,26.0,19.5,26.0,6.5,13.0,19.5,253.5
precious things fermentation project,PRECIOUS THINGS FERMENTATION PROJECT,2.5,1.5,0.5,2.0,2.0,,3.25,2.0,1.0,1.5,1.33,0.5,18.08
propolis brewing,PROPOLIS BREWING,3.48,20.16,-1.34,28.72,11.98,23.64,13.54,26.4,12.07,17.36,9.86,16.11,181.97999999999996
quartzite brewing company,QUARTZITE BREWING COMPANY,2.34,,,5.83,7.83,8.33,9.25,9.17,9.0,8.08,6.92,6.75,73.5
quirk brewing,QUIRK BREWING,20.42,32.78,23.76,42.64,37.57,31.83,24.0,26.83,36.71,22.33,29.0,23.75,351.61999999999995
rail hop'n brewing company,RAIL HOPN BREWING CO,9.0,9.0,9.0,,13.5,9.0,,13.5,,,9.0,9.0,81.0
railside brewing,RAILSIDE BREWING,,21.0,,19.0,14.0,,24.0,,15.6,,17.55,,111.15
rainy daze brewing,RAINY DAZE BREWING COMPANY,44.5,81.33,104.83,96.25,99.25,115.17,97.17,112.5,93.33,94.0,77.0,80.0,1095.33
ram restaurant and brewery,RAM BREWERYRAM RESTAURANT & BREWERY,274.4,200.1,284.05,311.7,245.95,249.05,257.0,169.65,207.9,317.25,254.45,221.6,2993.1000000000004
rattlesnake mountain brewing company,RATTLESNAKE MOUNTAIN BREWING COMPANY,28.07,27.19,31.99,30.87,29.58,33.88,39.34,30.72,34.43,30.09,25.17,25.23,366.56
ravenna brewing company,RAVENNA BREWING COMPANY,159.3,,264.23,,279.05,,356.44,,286.65,,250.37,,1596.04
redhook brewlab,REDHOOK ALE BREWERY,12.67,,,,,14.67,50.33,,9.67,,,,87.34
remlinger farm brewery,REMLINGER FARMS,,,,,6.22,7.37,,40.0,7.37,,17.0,6.17,84.13
republic brewing company,REPUBLIC BREWING COMPANY,22.6,26.83,24.38,35.09,34.86,37.92,43.27,38.58,35.34,41.01,21.11,20.18,381.1700000000001
resonate brewery and pizzeria,RESONATE BREWERY + PIZZERIA,,39.35,,69.9,,48.95,,58.55,24.85,,59.25,29.45,330.3
reuben's brews,REUBENS BREWS,1705.85,1676.63,1933.15,2070.59,2077.57,2519.17,2303.8700000000003,2617.09,2433.18,1740.98,1709.3300000000002,1592.8,24380.210000000003
ridgefield craft brewing company,RIDGEFIELD CRAFT BREWING COMPANY,19.88,34.42,26.17,22.24,,94.73,29.36,48.92,30.23,,49.73,13.42,369.1
ridgeline brewing company,RIDGELINE BREWING COMPANY,,,,,,,,,16.0,7.0,10.0,1.0,34.0
river city brewing,RIVER CITY BREWING,25.52,,115.44,41.0,30.57,54.18,38.84,27.7,28.47,16.22,16.41,20.82,415.1700000000001
river mile 38 brewing company,RIVER MILE 38 BREWING CO,10.23,15.11,14.18,10.57,13.43,13.35,26.42,16.18,14.77,13.75,11.17,8.34,167.5
river time brewing,RIVER TIME BREWING,22.67,,,,35.03,,,26.3,,,24.17,,108.17
riverport brewing company,RIVERPORT BREWING,21.65,27.53,28.68,26.3,26.8,31.8,33.21,38.75,36.97,27.5,24.96,23.31,347.46000000000004
rocky coulee brewing,ROCKY COULEE BREWING COMPANY,3.98,2.74,2.35,10.64,4.25,4.0,1.23,3.06,8.92,4.96,3.39,1.25,50.77
rooftop brewing company,ROOFTOP BREWING COMPANY,50.97,67.29,82.42,96.54,,204.31,82.06,100.63,97.86,65.75,,69.14,916.97
rose garage brewing and taps,ROSE GARAGE,4.0,2.0,,4.0,,4.0,2.0,1.0,,4.0,2.0,,23.0
roslyn brewing company,ROSLYN BREWING COMPANY,,19.56,,20.66,,40.69,,51.01,18.83,,14.52,14.73,180.0
saal brewing company,SAAL BREWING,,5.96,3.41,2.14,3.41,5.34,4.26,,9.54,4.85,4.85,5.28,49.04
saddle rock pub and brewery,SADDLE ROCK PUB,5.61,12.07,,10.0,,14.06,6.16,8.0,7.94,6.0,7.74,5.97,83.55
sage brewing company,SAGE BREWING COMPANY,15.87,19.67,18.74,12.26,35.21,11.68,28.51,22.27,13.47,10.34,26.81,15.86,230.69000000000003
salish sea brewing company,THE SALISH SEA BREWING COMPANYSALISH SEA BREWING COMPANY,320.11,0.6600000000000037,,,227.99,,217.06,,182.42,,,131.68,1079.92
san juan island brewing company,SAN JUAN BREWING COMPANY,97.7,97.27,84.9,205.86,140.46,179.1,275.84,218.43,216.6,139.17,88.17,87.95,1831.45
savage brewing company,SAVAGE BREWING COMPANY,,,21.0,10.0,,21.0,14.0,,21.0,21.0,,28.0,136.0
scamp brewing company,SCAMP BREWING COMPANY,3.0,3.0,4.17,6.0,9.0,6.0,6.0,3.0,3.0,6.0,3.0,6.0,58.17
schooner exact brewing company,SCHOONER EXACT BREWING COMPANY,-37.89,2567.5,2582.51,848.41,1477.33,1873.63,-170.53,6889.21,-70.33,1843.76,513.11,712.39,19029.099999999995
scuttlebutt brewing company,SCUTTLEBUTT BREWING CO.,311.3,279.2,325.26,448.99,383.76,499.67,464.24,406.59,386.33,353.16,255.78,321.87,4436.150000000001
scythe brewing company,SCYTHE BREWING COMPANY,,,,,3.44,,3.9,25.89,,,29.3,,62.53
seapine brewing company,SEAPINE BREWING COMPANY,,809.56,,,642.5,,327.0,,682.59,,743.39,,3205.04
shellback brewing,SHELLBACK BREWING,0.64,0.16,0.5,,,0.96,1.0,2.0,0.66,0.8,1.0,0.8,8.52
shoug brewing company,SHOUG BREWING COMPANY,6.25,7.25,9.25,10.25,10.75,9.0,5.25,11.5,26.75,12.0,10.5,15.75,134.5
sig brewing company,SIG BREWING COMPANY,19.98,41.57,66.54,39.48,46.55,34.96,32.15,31.53,29.24,31.34,29.21,23.04,425.59
silver city brewery,SILVER CITY BREWERY,1248.72,1516.41,101.71,2372.86,2621.8,2218.78,1417.5,2169.09,1722.27,1524.62,1617.34,1591.01,20122.11
singing hops brewing company,SINGING HOPS BREWING COMPANY,3.93,10.66,,4.11,6.18,4.16,9.35,10.7,1.59,6.67,1.94,0.83,60.12
single hill brewing company,SINGLE HILL BREWING COMPANY,93.87,154.41,155.59,147.89,139.98,203.69,163.61,174.96,221.07,151.37,122.77,134.99,1864.2
skep brewing company,SKEP BREWING COMPANY,0.42,0.71,1.74,0.99,1.27,0.58,1.0,1.9,1.31,1.04,1.11,1.37,13.44
skookum brewery,SKOOKUM BREWERY,118.41,97.58,113.01,91.34,157.83,99.47,106.25,123.97,96.47,65.59,91.6,110.31,1271.83
slaughter county brewing company,SLAUGHTER COUNTY BREWING COMPANY,41.0,,32.0,,,43.0,,,,,,,116.0
slippery pig brewing,SLIPPERY PIG BREWERY,15.0,22.5,27.0,19.5,18.0,24.0,18.0,22.5,15.0,15.0,21.0,18.0,235.5
snapshot brewing,SNAPSHOT BREWING,3.55,7.65,,7.58,3.06,,2.16,,8.67,,5.0,4.7,42.370000000000005
snoqualmie falls brewing company,SNOQUALMIE FALLS BREWERY AND TAPROOM,,250.76,119.98,,167.0,102.4,95.99,103.69,94.28,,68.25,125.32,1127.6699999999998
snotown brewery,SNOTOWN BREWERY,5.99,7.33,10.64,14.15,14.16,4.8,12.83,6.33,6.16,4.99,5.16,8.42,100.96
snow eater brewing company,SNOW EATER BREWING COMPANY,,,,,67.58,,,,,151.35,,,218.93
sound to summit brewing,SOUND2SUMMIT BREWERY,26.16,35.83,40.99,30.95,40.41,38.33,33.75,46.32,49.84,61.5,31.92,20.83,456.8299999999999
spada farmhouse brewery,SPADA FARMHOUSE BREWERY,27.0,18.0,36.0,,33.0,24.0,-12.0,15.0,18.0,9.0,15.0,24.0,207.0
spokanite brewing,SPOKANITE BREWING COMPANY,,,,,,5.0,,10.93,4.93,4.25,4.25,4.5,33.86
square wheel brewing company,SQUARE WHEEL BREWING,3.42,1.5,4.25,12.25,7.25,13.75,8.5,11.63,10.75,0.25,,,73.55000000000001
squirrel fight artisan brewing,SQUIRREL FIGHT ARTISAN BREWING,4.75,,15.75,7.25,6.25,,,,,,,,34.0
standard brewing,STANDARD BREWING,44.56,43.14,59.79,45.98,53.88,41.0,,86.6,39.45,29.81,40.41,35.56,520.18
steam donkey brewing company,STEAM DONKEY BREWING COMPANY,,25.75,15.25,17.66,,36.87,21.82,,47.23,18.0,,35.57,218.15
stemma brewing company,STEMMA BREWING,-13.44,230.3,130.16,114.27,179.86,140.32,123.83,163.67,172.39,163.11,194.6,99.72,1698.79
stones throw brewery,STONES THROW BREWERY,25.36,,73.4,,92.86,48.6,49.54,43.51,43.0,,70.95,28.0,475.22
stormy mountain brewing,STORMY MOUNTAIN BREWING,,10.5,8.0,7.5,9.0,5.5,12.5,4.0,9.0,7.5,4.5,6.0,84.0
stoup brewing,STOUP BREWING,301.94,420.3,480.97,448.93,466.55,566.31,481.77,523.95,542.94,480.2,371.95,391.1,5476.91
structures brewing,STRUCTURES BREWING,95.5,80.5,129.0,91.5,99.0,117.0,98.0,85.5,108.0,104.0,89.0,96.0,1193.0
sumerian brewing company,SUMERIAN BREWING CO.,51.2,33.03,100.53,,63.39,106.21,58.15,52.29,,49.8,43.63,92.23,650.46
swinnerton brewery,SWINNERTON BREWERY,,,,,,,1.0,,,,,,1.0
taneum creek brewing,TANEUM CREEK BREWING,10.1,2.93,7.34,5.55,7.21,4.82,2.5,,,,,,40.45
temperate habits brewing company,TEMPERATE HABITS BREWING COMPANY,6.0,15.0,18.0,22.0,12.0,12.0,15.0,12.0,12.0,12.0,18.0,,154.0
ten pin brewing company,TEN PIN BREWING,97.56,66.05,88.05,139.53,129.23,124.18,189.65,132.24,111.24,58.37,106.16,40.71,1282.97
terramar brewing and distilling,TERRAMAR,18.29,13.31,34.78,37.73,30.27,31.14,46.04,38.11,40.57,45.14,19.24,22.48,377.1
the good society brewery,THE GOOD SOCIETY,19.29,27.88,29.0,28.32,30.96,27.7,27.06,34.83,36.3,32.95,19.51,22.05,335.85
the grain shed,THE GRAIN SHED,8.91,16.5,15.83,,29.33,47.62,18.42,8.67,19.25,18.17,,37.08,219.78000000000003
the heavy metal brewing company,THE HEAVY METAL BREWING CO,,21.5,,21.25,,20.75,,,58.25,,37.0,,158.75
the hidden mother brewery,THE HIDDEN MOTHER BREWERY,48.14,1.0,,,-3.38,,,,,,,,45.76
the station u-brew,THE STATION U-BREW,8.71,9.03,12.26,9.36,9.36,7.74,6.78,4.84,10.0,7.42,7.42,9.03,101.95
thirsty crab brewery,THIRSTY CRAB BREWERY,12.0,9.0,12.0,25.0,,26.0,41.0,16.0,29.0,,13.0,9.0,192.0
three bull brewing,THREE BULL BREWING CO,4.56,2.23,3.99,5.97,3.04,4.13,5.89,12.2,3.33,4.34,3.94,2.18,55.8
three magnets brewing,THREE MAGNETS BREWING COMPANY,,,,,129.63,208.1,41.09,175.46,93.64,22.1,228.27,,898.29
timber monster brewing,TIMBER MONSTER BREWING COMPANY,8.0,,,,,,,,,,,,8.0
timber patch brewing,TIMBER PATCH BREWING,4.5,6.16,6.66,6.0,7.65,7.14,8.16,10.96,9.44,6.46,5.82,5.46,84.41
tin dog brewing,TIN DOG BREWING,3.56,3.17,3.23,4.22,10.4,11.15,,14.76,4.16,4.69,2.26,,61.599999999999994
top down brewing company,TOP DOWN BREWING COMPANY,15.79,,36.38,15.81,15.07,16.91,24.08,17.4,14.33,17.66,12.29,13.26,198.98
top frog brewery,TOP FROG BREWERY,2.25,4.0,4.25,4.0,2.75,5.5,3.0,2.5,4.0,2.0,2.75,6.0,43.0
top knot brewing,TOP KNOT BREWING,,,,,1.94,2.33,7.5,,,4.0,1.25,5.6,22.62
top rung brewing company,TOP RUNG BREWING COMPANY,37.29,37.7,57.17,,96.54,68.3,52.55,54.41,52.45,51.61,44.71,37.92,590.6500000000001
trap door brewing,TRAP DOOR BREWING,42.88,42.11,47.33,63.65,49.83,67.26,57.58,69.84,96.7,62.74,-0.39,120.67,720.2
triceratops brewing company,TRICERATOPS BREWING COMPANY,44.75,25.45,38.87,55.61,,,72.52,,32.15,51.82,,47.12,368.29
triple r brewing,TRIPLE R BREWERY,,2.16,0.66,1.5,1.0,0.5,1.0,,1.5,2.0,1.5,2.16,13.98
triplehorn brewing company,TRIPLEHORN BREWING CO,60.0,60.0,55.0,45.09,,87.0,65.0,59.0,62.0,80.0,56.0,51.0,680.09
trusty brewing company,TRUSTY BREWING COMPANY,,13.58,,,3.75,2.33,,,,,,,19.66
tt's old iron brewery,TTS OLD IRON BREWERY & BBQ,7.4,9.2,19.4,20.21,,57.8,13.0,25.0,23.2,19.2,20.0,25.48,239.89
twin sisters brewing company,TWIN SISTERS BREWING COMPANY,57.11,109.04,108.02,121.08,134.21,143.22,142.62,99.6,93.03,87.67,83.07,62.79,1241.46
two beers brewing company,TWO BEERS BREWING COMPANY,133.1,109.67,153.65,153.65,182.61,194.9,203.75,247.76,259.35,183.0,180.05,154.85,2156.34
uprise brewing company,UPRISE BREWING COMPANY,,,,,,,1.7,58.29,48.72,43.92,33.34,34.37,220.34
urban family brewing company,URBAN FAMILY BREWING COMPANY,153.83,135.95,214.11,,360.03,260.18,248.38,254.16,,323.29,152.9,111.19,2214.02
v twin brewing company,V TWIN BREWING COMPANY,1.79,,9.43,,,,8.17,,3.28,,,,22.67
valhöll brewing company,VALHOLL BREWING COMPANY,27.2,27.36,44.61,39.47,45.09,45.59,53.48,56.89,52.39,29.61,21.95,33.49,477.13000000000005
valley brewing company,VALLEY BREWING COMPANY,23.08,24.03,40.81,,38.78,32.43,79.68,,66.6,,53.38,,358.78999999999996
valley house brewing company,VALLEY HOUSE BREWING COMPANY,16.8,18.4,14.5,22.0,28.6,32.1,23.6,22.1,16.8,21.7,,36.6,253.2
varietal beer company,VARIETAL BEER COMPANY,,193.7,110.67,,187.34,158.55,,321.64,146.97,,256.27,,1375.14
vashon brewing,VASHON BREWING LLC,2.17,2.17,,8.28,5.68,,17.32,5.83,7.34,2.75,1.79,,53.33
vice beer,VICE BEER,,,,,,,10.17,,-0.39,,68.25,,78.03
victor 23 craft brewery,VICTOR 23 BREWING,14.15,7.71,42.9,48.53,14.22,27.6,46.76,38.15,62.0,9.25,15.0,38.89,365.16
volition brewing company,VOLITION BREWING COMPANY,13.59,,,17.78,83.38,,20.36,,20.62,84.98,25.58,,266.29
wander brewing,WANDER BREWING,107.96,136.75,199.87,182.97,183.47,175.19,177.33,220.62,166.52,134.83,144.36,106.86,1936.73
wandering hop brewery,WANDERING HOP,12.95,17.29,43.040000000000006,27.68,28.07,32.96,17.54,25.94,20.59,34.730000000000004,19.69,20.66,301.14
water buffalo brewery,WATER BUFFALO BREWERY,0.58,1.44,3.75,0.89,3.16,6.05,8.21,6.2,6.09,4.06,1.33,1.3,43.06
watts brewing company,WATTS BREWING CO.,,1.67,,,0.17,,3.33,11.33,22.83,18.17,16.33,19.35,93.18
well 80 brewing company,WELL 80 ARTESIAN BREWING COMPANY,27.08,39.42,35.59,41.23,45.62,27.75,40.5,30.92,44.75,34.58,13.83,32.57,413.84
wenatchee valley brewing company,WENATCHEE BREWING CO,19.0,22.0,32.0,37.5,41.17,40.91,38.33,52.8,,62.15,15.3,15.49,376.65
west seattle brewing company,WEST SEATTLE BREWING CO,4.72,,,25.8,,48.62,,48.12,,,22.03,13.07,162.36
western red brewing,WESTERN RED BREWING,108.11,55.45,75.32,,144.67,93.73,66.88,,172.32,,108.82,43.15,868.4499999999998
wet coast brewing company,WET COAST BREWING COMPANY,60.44,59.63,,181.47,92.57,97.03,101.69,89.16,79.01,71.17,62.55,64.36,959.0799999999998
wheelie pop brewing,WHEELIE POP BREWING,,11.67,27.86,16.2,28.38,29.9,34.34,32.59,47.37,35.71,32.68,27.08,323.78
whipsaw brewing,WHIPSAW BREWING,30.589999999999996,36.25,58.02,84.17,89.36,128.14,97.99,132.65,138.51,131.32999999999998,117.2,69.48,1113.69
whistle punk brewing company,WHISTLE PUNK BREWING,23.33,16.33,29.17,32.0,31.67,25.0,25.0,32.17,19.5,32.67,25.17,19.5,311.51000000000005
white bluffs brewing,WHITE BLUFFS BREWING,95.68,109.82,107.8,106.39,104.73,135.97,79.97,113.58,123.82,96.2,87.19,114.72,1275.87
whitewall brewing company,WHITEWALL BREWING,20.64,28.39,39.96,16.82,35.7,22.75,30.91,31.59,27.49,22.26,19.73,27.71,323.95
wicked teuton brewing company,WICKED TEUTON BREWING COMPANY,6.0,5.5,6.67,5.0,7.75,9.5,8.83,5.5,7.83,6.55,7.67,,76.8
wild man brewing company,WILD MAN BREWING COMPANY,12.96,9.65,8.21,8.22,10.44,14.63,8.84,16.62,12.2,12.94,10.64,9.27,134.62
wild oak project,LOST BEAR BREWS,,0.15,,,0.23,,,,,,,,0.38
wildland cooperative,WILDLAND COOPERATIVE,,,,,1.66,0.31,2.31,,5.0,,9.65,,18.93
willapa brewing company,WILLAPA BREWING CO,2.67,6.82,5.16,9.14,6.48,9.3,1.98,8.62,6.81,9.43,4.47,3.84,74.72
yakima craft brewing company,YAKIMA CRAFT BREWING CO.,37.83,30.47,35.62,22.31,29.2,48.07,32.86,25.91,20.24,25.01,,5.5,313.02
yaya brewing company,YAYA BREWING COMPANY,54.0,45.23,103.06,56.0,52.98,85.67,73.49,72.06,46.59,67.73,90.8,62.34,809.95
yoked farmhouse and brewery,YOKED FARMHOUSE BREWERY,9.98,23.64,,,33.53,,35.92,,64.87,,,30.7,198.64
