brewery_wa,brewery_prod,January,February,March,April,May,June,July,August,September,October,November,December,total_annual
big time brewery,BIG TIME BREWING COMPANY,,83.5,54.75,,57.25,,120.95,97.5,62.0,,94.25,,570.2
birdsview brewing company,BIRDSVIEW BREWING CO,20.2,32.7,24.8,26.6,13.3,26.4,37.6,19.1,33.3,12.0,19.5,19.7,285.20000000000005
bizarre brewing,BIZARRE BREWING,,,,,,,,,,27.51,21.97,30.88,80.36
black fleet brewing,BLACK FLEET BREWING,9.42,12.94,11.94,13.51,16.44,15.74,17.08,22.1,14.67,11.98,9.56,11.05,166.42999999999998
black label brewing company,BLACK LABEL BREWING COMPANY,,,8.0,12.5,,,32.0,,,40.5,,,93.0
black raven brewing company,BLACK RAVEN BREWING COMPANY,-10.54,1194.46,21.73,1590.16,878.0899999999999,-5.95,1774.7800000000002,904.37,-6.81,1888.28,-7.05,684.23,8905.75
blackbeard's brewing company,BLACKBEARDS BREWING COMPANY,8.0,24.0,,32.0,24.0,24.0,16.0,50.0,17.5,8.0,,,203.5
blewett brewing company,BLEWETT BREWING COMPANY,15.1,16.6,18.4,21.85,22.45,34.1,39.05,43.25,45.3,31.6,22.5,28.0,338.2
bombing range brewing company,BOMBING RANGE BREWING COMPANY,40.66,45.1,46.87,48.02,44.79,50.47,47.31,41.12,47.71,45.88,39.98,40.44,538.35
bottle bay brewing company,BOTTLE BAY BREWING CO.,,4.0,,,,46.0,,,,80.0,,,130.0
boundary bay brewery,BOUNDARY BAY BREWERY AND BISTRO,304.31,416.68,495.1,559.19,458.02,613.18,577.56,461.11,538.55,477.46,372.26,340.11,5613.530000000001
breakthru brewing company,BREAKTHRU BREWING COMPANY,15.0,11.5,,4.0,8.0,4.5,4.5,12.0,,11.0,8.0,10.0,88.5
brewbakers brewing company,BREW BAKERS,1.5,2.5,1.5,1.5,2.0,1.5,3.0,2.0,2.0,3.0,1.0,,21.5
brick west brewing company,BRICK WEST BREWING,153.33,110.65,201.44,154.67,182.94,223.45,184.62,154.63,193.33,198.86,113.69,163.09,2034.7000000000005
bron yr aur brewing company,BRON YR AUR FRUIT & PRODUCE,20.17,20.17,27.5,21.75,25.92,26.7,28.44,32.02,24.14,24.04,10.32,18.54,279.71000000000004
brother ass brewing,BROTHER ASS BREWING,4.29,14.37,,3.02,7.03,8.65,6.33,7.39,5.91,4.28,7.33,4.53,73.13
brothers cascadia brewing,BROTHERS CASCADIA BREWING,98.21,127.43,115.64,,195.27,124.47,105.48,72.43,98.12,84.7,92.9,72.81,1187.46
bugu brewing company,BUGU BREWING COMPANY,1.65,3.44,2.46,4.94,3.94,4.27,,11.49,4.29,4.05,4.06,5.7,50.29
burke-gilman brewing company,BURKE-GILMAN BREWING COMPANY,34.2,33.1,,277.84,28.7,,83.3,,51.5,57.4,,17.9,583.9399999999999
burwood brewing company,BURWOOD BREWING COMPANY,30.95,38.49,46.22,44.54,51.73,72.16,46.96,49.02,56.25,36.3,39.67,34.09,546.3800000000001
byron street brewery,BYRON ST BREWERY,,,,,,,,,2.5,5.5,4.0,2.5,14.5
cairn brewing,CAIRN BREWING,26.0,10.5,43.5,28.5,43.5,31.0,33.0,38.0,36.0,34.0,31.5,12.5,368.0
camas brewing company,CAMAS BREWING CO,,,18.0,,-1.25,,,23.5,8.75,9.58,,,58.58
camp colvos brewing,CAMP COLVOS BREWING,,55.8,32.6,37.9,41.9,,93.8,48.8,43.7,,66.4,29.9,450.7999999999999
captain's brewing company,CAPTAINS BREWING COMPANY,0.17,0.5,0.42,0.42,0.42,0.42,,,0.32,,,,2.67
cardinal craft brewing,CARDINAL CRAFT BREWING,,13.0,,,,5.0,,,1.0,1.0,6.0,,26.0
chainline brewing company,CHAINLINE BREWERY,66.74,123.38,126.59,139.59,-0.29,262.77,136.94,179.1,161.48,88.73,95.47,84.98,1465.48
chaos bay brewing company,CHAOS BAY BREWING CO.,,,,,,,,,,7.0,5.0,4.0,16.0
chief spring's fire and irons brewpub,CHIEF SPRINGS FIRE & IRONS BREW PUB,,21.87,13.36,9.71,9.97,18.56,11.41,10.83,10.72,,17.52,10.7,134.65
chuckanut brewery,CHUCKANUT BREWERY,263.4,283.3,465.2,291.1,351.45,389.8,349.3,457.6,322.6,-1.5,591.3,252.11,4015.66
cloudburst brewing,CLOUDBURST BREWING,139.42000000000002,159.64,181.46,175.84,167.88,181.92,166.44,196.28000000000003,168.52,164.29,147.81,150.56,2000.06
cole street brewery,COLE STREET BREWERY,2.0,,2.0,2.6,,,9.0,,,,,,15.6
common language brewing company,COMMON LANGUAGE BREWING COMPANY,,,47.0,15.0,22.5,3.0,50.0,22.0,10.0,42.0,13.0,4.5,229.0
counterbalance brewing company,COUNTERBALANCE BREWING COMPANY,27.28,40.84,39.74,39.02,36.39,42.68,28.46,37.41,25.27,13.58,,,330.66999999999996
cowiche creek brewing company,COWICHE CREEK BREWING COMPANY,59.66,37.5,48.5,96.99,43.49,46.0,36.0,117.11,69.66,31.67,16.0,5.17,607.7499999999999
crane's castle brewing company,CRANES CASTLE BREWING,7.2,7.78,10.53,8.33,9.7,9.47,9.95,9.38,7.7,9.5,7.53,8.04,105.11
crooked label brewing company,CROOKED LABEL BREWING COMPANY,6.0,6.0,6.0,6.0,6.0,9.0,9.0,12.0,12.0,12.0,12.0,9.0,105.0
crossbuck brewing,WALLA WALLA STEAK CO/CROSS BUCK BREWING,16.69,10.34,18.87,22.11,21.68,,42.34,103.23,26.51,20.7,12.47,21.77,316.71
crossed arrows brewery,CROSSED ARROWS BREWERY,,,,,,,,,,,,1.0,1.0
crucible brewing company,CRUCIBLE BREWING COCRUCIBLE BREWING CO.,49.92,110.51,133.32999999999998,131.26,167.38,,212.22,92.25,90.06,,67.28,263.27,1317.48
cursed brewing,CURSED BREWING,,,,,,,,,,4.78,4.78,-3.06,6.5
darach brewing company,DARACH BREWING COMPANY,,,,,,,,,,,,5.5,5.5
decibel brewing company,DECIBEL BREWING CO,,6.02,,,,,,,,,,4.52,10.54
deep draft brewing,DEEP DRAFT BREWING,12.13,14.26,18.58,15.57,19.88,23.17,25.46,21.93,20.99,16.5,17.06,10.34,215.87
diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,207.84,214.13,375.71,296.93,367.95,308.92,274.73,370.69,279.6,282.43,311.28000000000003,183.75,3473.9599999999996
dick's brewing company,DICKS BREWING COMPANY,208.76,89.05,,135.35,,101.57,,,197.75,,91.68,32.27,856.4300000000001
dirty couch brewing,DIRTY COUCH BREWING,,,,33.12,,17.28,,,,,61.86,,112.26
discovery bay brewing,DISCOVERY BAY BREWING,7.1,6.56,9.29,10.45,11.77,11.19,14.37,13.36,11.2,9.48,4.74,6.3,115.81
district brewing,DISTRICT BREWING,25.36,30.38,118.03,71.86,72.95,139.61,103.2,96.51,66.87,82.53,113.79,63.05,984.14
doghaus brewery,DOGHAUS BREWERY,3.75,10.25,5.75,9.0,11.5,17.25,13.25,17.25,16.25,14.0,4.25,7.0,129.5
doomsday brewing company,DOOMSDAY BREWING COMPANY,31.0,30.5,39.0,33.5,31.0,37.5,36.5,41.5,34.0,32.0,32.0,27.0,405.5
double bluff brewing company,DOUBLE BLUFF BREWING,8.23,9.35,14.84,14.03,14.03,12.58,16.94,14.35,12.42,11.29,12.1,6.77,146.92999999999998
downpour brewing,DOWNPOUR BREWING,,21.0,12.0,12.0,12.0,15.0,,12.0,24.0,,24.0,,132.0
dreadnought brewing,DREADNOUGHT BREWING,4.5,4.0,5.5,,9.5,,8.5,,8.5,,9.0,,49.5
dru bru,DRU BRU,206.37,302.96,337.66,302.57000000000005,327.28999999999996,442.43,433.26,466.01,519.14,314.67,360.73,365.75,4378.84
dubtown brewing company,DUBTOWN BREWING COMPANY,5.0,19.0,4.5,14.5,19.0,9.5,4.5,19.0,5.0,14.5,19.0,9.5,143.0
dunagan irish pub and brewery,DUNAGAN BREWING CO.,,,5.5,4.5,,,3.0,,,6.0,,,19.0
dungeness brewing company,DUNGENESS BREWING COMPANY,,,,,,,,,0.8,0.8,,,1.6
dwinell country ales,DWINELL COUNTRY ALE,1.52,10.8,6.26,8.1,7.28,6.24,6.8,17.94,8.3,7.81,4.52,0.41,85.97999999999999
dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,50.5,,7.8,,40.4,,,45.1,,,,25.8,169.6
e2w brewing,E2W BREWING,1.75,2.42,3.09,2.0,,4.85,,,,,,,14.11
e9 brewing company,E9 BREWING CO,142.89,187.39,221.89,225.03,208.38,230.98,218.46,232.84,1160.95,180.98,192.9,232.3,3434.99
echoes brewing company,ECHOES BREWING COMPANY LLC,17.85,16.83,35.91,28.83,31.35,34.09,38.18,47.59,39.53,43.83,40.55,31.84,406.38
elk head brewing company,ELK HEAD BREWING,21.29,26.69,30.25,30.83,26.7,28.77,32.03,28.1,29.58,24.41,25.19,29.31,333.15000000000003
elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,95.7,105.9,133.0,157.62,87.10000000000001,176.54,95.1,122.92,103.38,74.3,95.73,116.56,1363.85
elysian brewing,ELYSIAN BREWING COMPANY,874.69,780.65,-101.03,2182.4,1447.5,947.41,1211.8,1545.98,1207.3,1627.5,507.17,732.5,12963.87
everybody's brewing,EVERYBODYS BREWING,184.47,200.68,320.71,278.26,295.38,313.73,284.98,409.67,313.55,206.14,276.42,187.26,3271.2500000000005
explorer brewing company,EXPLORER BREWING COMPANY,8.2,8.75,10.56,8.91,7.98,10.03,11.2,12.71,12.38,6.46,,18.86,116.04
fair isle brewing,FAIR ISLE BREWING,35.06,20.99,50.87,42.56,33.26,104.07,36.94,61.92,0.0,46.95,52.3,25.05,509.97
farmstrong brewing company,FARMSTRONG BREWING COMPANY,85.7,73.98,153.2,104.67,165.96,163.76,154.8,213.71,,,,378.68,1494.46
fast fashion beer,FAST FASHION,75.0,48.0,,70.0,28.0,48.0,30.0,,80.0,,42.0,40.0,461.0
fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,,0.5,0.5,0.25,1.0,,1.0,1.5,0.25,2.58,,1.0,8.58
fermentation initiative,FERMENTATION INITIATIVE,,,,,4.0,5.0,4.0,5.0,,9.0,,7.0,34.0
