index,brewery_wa,brewery_prod,month,production
4740,crucible brewing company,CRUCIBLE BREWING COCRUCIBLE BREWING CO.,total_annual,1317.48
85,cursed brewing,CURSED BREWING,January,
473,cursed brewing,CURSED BREWING,February,
861,cursed brewing,CURSED BREWING,March,
1249,cursed brewing,CURSED BREWING,April,
1637,cursed brewing,CURSED BREWING,May,
2025,cursed brewing,CURSED BREWING,June,
2413,cursed brewing,CURSED BREWING,July,
2801,cursed brewing,CURSED BREWING,August,
3189,cursed brewing,CURSED BREWING,September,
3577,cursed brewing,CURSED BREWING,October,4.78
3965,cursed brewing,CURSED BREWING,November,4.78
4353,cursed brewing,CURSED BREWING,December,-3.06
4741,cursed brewing,CURSED BREWING,total_annual,6.5
86,darach brewing company,DARACH BREWING COMPANY,January,
474,darach brewing company,DARACH BREWING COMPANY,February,
862,darach brewing company,DARACH BREWING COMPANY,March,
1250,darach brewing company,DARACH BREWING COMPANY,April,
1638,darach brewing company,DARACH BREWING COMPANY,May,
2026,darach brewing company,DARACH BREWING COMPANY,June,
2414,darach brewing company,DARACH BREWING COMPANY,July,
2802,darach brewing company,DARACH BREWING COMPANY,August,
3190,darach brewing company,DARACH BREWING COMPANY,September,
3578,darach brewing company,DARACH BREWING COMPANY,October,
3966,darach brewing company,DARACH BREWING COMPANY,November,
4354,darach brewing company,DARACH BREWING COMPANY,December,5.5
4742,darach brewing company,DARACH BREWING COMPANY,total_annual,5.5
87,decibel brewing company,DECIBEL BREWING CO,January,
475,decibel brewing company,DECIBEL BREWING CO,February,6.02
863,decibel brewing company,DECIBEL BREWING CO,March,
1251,decibel brewing company,DECIBEL BREWING CO,April,
1639,decibel brewing company,DECIBEL BREWING CO,May,
2027,decibel brewing company,DECIBEL BREWING CO,June,
2415,decibel brewing company,DECIBEL BREWING CO,July,
2803,decibel brewing company,DECIBEL BREWING CO,August,
3191,decibel brewing company,DECIBEL BREWING CO,September,
3579,decibel brewing company,DECIBEL BREWING CO,October,
3967,decibel brewing company,DECIBEL BREWING CO,November,
4355,decibel brewing company,DECIBEL BREWING CO,December,4.52
4743,decibel brewing company,DECIBEL BREWING CO,total_annual,10.54
88,deep draft brewing,DEEP DRAFT BREWING,January,12.13
476,deep draft brewing,DEEP DRAFT BREWING,February,14.26
864,deep draft brewing,DEEP DRAFT BREWING,March,18.58
1252,deep draft brewing,DEEP DRAFT BREWING,April,15.57
1640,deep draft brewing,DEEP DRAFT BREWING,May,19.88
2028,deep draft brewing,DEEP DRAFT BREWING,June,23.17
2416,deep draft brewing,DEEP DRAFT BREWING,July,25.46
2804,deep draft brewing,DEEP DRAFT BREWING,August,21.93
3192,deep draft brewing,DEEP DRAFT BREWING,September,20.99
3580,deep draft brewing,DEEP DRAFT BREWING,October,16.5
3968,deep draft brewing,DEEP DRAFT BREWING,November,17.06
4356,deep draft brewing,DEEP DRAFT BREWING,December,10.34
4744,deep draft brewing,DEEP DRAFT BREWING,total_annual,215.87
89,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,January,207.84
477,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,February,214.13
865,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,March,375.71
1253,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,April,296.93
1641,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,May,367.95
2029,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,June,308.92
2417,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,July,274.73
2805,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,August,370.69
3193,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,September,279.6
3581,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,October,282.43
3969,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,November,311.28000000000003
4357,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,December,183.75
4745,diamond knot brewing company,DIAMOND KNOT BREWING COM.DIAMOND KNOT BREWPUB @ MLT,total_annual,3473.9599999999996
90,dick's brewing company,DICKS BREWING COMPANY,January,208.76
478,dick's brewing company,DICKS BREWING COMPANY,February,89.05
866,dick's brewing company,DICKS BREWING COMPANY,March,
1254,dick's brewing company,DICKS BREWING COMPANY,April,135.35
1642,dick's brewing company,DICKS BREWING COMPANY,May,
2030,dick's brewing company,DICKS BREWING COMPANY,June,101.57
2418,dick's brewing company,DICKS BREWING COMPANY,July,
2806,dick's brewing company,DICKS BREWING COMPANY,August,
3194,dick's brewing company,DICKS BREWING COMPANY,September,197.75
3582,dick's brewing company,DICKS BREWING COMPANY,October,
3970,dick's brewing company,DICKS BREWING COMPANY,November,91.68
4358,dick's brewing company,DICKS BREWING COMPANY,December,32.27
4746,dick's brewing company,DICKS BREWING COMPANY,total_annual,856.4300000000001
91,dirty couch brewing,DIRTY COUCH BREWING,January,
479,dirty couch brewing,DIRTY COUCH BREWING,February,
867,dirty couch brewing,DIRTY COUCH BREWING,March,
1255,dirty couch brewing,DIRTY COUCH BREWING,April,33.12
1643,dirty couch brewing,DIRTY COUCH BREWING,May,
2031,dirty couch brewing,DIRTY COUCH BREWING,June,17.28
2419,dirty couch brewing,DIRTY COUCH BREWING,July,
2807,dirty couch brewing,DIRTY COUCH BREWING,August,
3195,dirty couch brewing,DIRTY COUCH BREWING,September,
3583,dirty couch brewing,DIRTY COUCH BREWING,October,
3971,dirty couch brewing,DIRTY COUCH BREWING,November,61.86
4359,dirty couch brewing,DIRTY COUCH BREWING,December,
4747,dirty couch brewing,DIRTY COUCH BREWING,total_annual,112.26
92,discovery bay brewing,DISCOVERY BAY BREWING,January,7.1
480,discovery bay brewing,DISCOVERY BAY BREWING,February,6.56
868,discovery bay brewing,DISCOVERY BAY BREWING,March,9.29
1256,discovery bay brewing,DISCOVERY BAY BREWING,April,10.45
1644,discovery bay brewing,DISCOVERY BAY BREWING,May,11.77
2032,discovery bay brewing,DISCOVERY BAY BREWING,June,11.19
2420,discovery bay brewing,DISCOVERY BAY BREWING,July,14.37
2808,discovery bay brewing,DISCOVERY BAY BREWING,August,13.36
3196,discovery bay brewing,DISCOVERY BAY BREWING,September,11.2
3584,discovery bay brewing,DISCOVERY BAY BREWING,October,9.48
3972,discovery bay brewing,DISCOVERY BAY BREWING,November,4.74
4360,discovery bay brewing,DISCOVERY BAY BREWING,December,6.3
4748,discovery bay brewing,DISCOVERY BAY BREWING,total_annual,115.81
93,district brewing,DISTRICT BREWING,January,25.36
481,district brewing,DISTRICT BREWING,February,30.38
869,district brewing,DISTRICT BREWING,March,118.03
1257,district brewing,DISTRICT BREWING,April,71.86
1645,district brewing,DISTRICT BREWING,May,72.95
2033,district brewing,DISTRICT BREWING,June,139.61
2421,district brewing,DISTRICT BREWING,July,103.2
2809,district brewing,DISTRICT BREWING,August,96.51
3197,district brewing,DISTRICT BREWING,September,66.87
3585,district brewing,DISTRICT BREWING,October,82.53
3973,district brewing,DISTRICT BREWING,November,113.79
4361,district brewing,DISTRICT BREWING,December,63.05
4749,district brewing,DISTRICT BREWING,total_annual,984.14
94,doghaus brewery,DOGHAUS BREWERY,January,3.75
482,doghaus brewery,DOGHAUS BREWERY,February,10.25
870,doghaus brewery,DOGHAUS BREWERY,March,5.75
1258,doghaus brewery,DOGHAUS BREWERY,April,9.0
1646,doghaus brewery,DOGHAUS BREWERY,May,11.5
2034,doghaus brewery,DOGHAUS BREWERY,June,17.25
2422,doghaus brewery,DOGHAUS BREWERY,July,13.25
2810,doghaus brewery,DOGHAUS BREWERY,August,17.25
3198,doghaus brewery,DOGHAUS BREWERY,September,16.25
3586,doghaus brewery,DOGHAUS BREWERY,October,14.0
3974,doghaus brewery,DOGHAUS BREWERY,November,4.25
4362,doghaus brewery,DOGHAUS BREWERY,December,7.0
4750,doghaus brewery,DOGHAUS BREWERY,total_annual,129.5
95,doomsday brewing company,DOOMSDAY BREWING COMPANY,January,31.0
483,doomsday brewing company,DOOMSDAY BREWING COMPANY,February,30.5
871,doomsday brewing company,DOOMSDAY BREWING COMPANY,March,39.0
1259,doomsday brewing company,DOOMSDAY BREWING COMPANY,April,33.5
1647,doomsday brewing company,DOOMSDAY BREWING COMPANY,May,31.0
2035,doomsday brewing company,DOOMSDAY BREWING COMPANY,June,37.5
2423,doomsday brewing company,DOOMSDAY BREWING COMPANY,July,36.5
2811,doomsday brewing company,DOOMSDAY BREWING COMPANY,August,41.5
3199,doomsday brewing company,DOOMSDAY BREWING COMPANY,September,34.0
3587,doomsday brewing company,DOOMSDAY BREWING COMPANY,October,32.0
3975,doomsday brewing company,DOOMSDAY BREWING COMPANY,November,32.0
4363,doomsday brewing company,DOOMSDAY BREWING COMPANY,December,27.0
4751,doomsday brewing company,DOOMSDAY BREWING COMPANY,total_annual,405.5
96,double bluff brewing company,DOUBLE BLUFF BREWING,January,8.23
484,double bluff brewing company,DOUBLE BLUFF BREWING,February,9.35
872,double bluff brewing company,DOUBLE BLUFF BREWING,March,14.84
1260,double bluff brewing company,DOUBLE BLUFF BREWING,April,14.03
1648,double bluff brewing company,DOUBLE BLUFF BREWING,May,14.03
2036,double bluff brewing company,DOUBLE BLUFF BREWING,June,12.58
2424,double bluff brewing company,DOUBLE BLUFF BREWING,July,16.94
2812,double bluff brewing company,DOUBLE BLUFF BREWING,August,14.35
3200,double bluff brewing company,DOUBLE BLUFF BREWING,September,12.42
3588,double bluff brewing company,DOUBLE BLUFF BREWING,October,11.29
3976,double bluff brewing company,DOUBLE BLUFF BREWING,November,12.1
4364,double bluff brewing company,DOUBLE BLUFF BREWING,December,6.77
4752,double bluff brewing company,DOUBLE BLUFF BREWING,total_annual,146.92999999999998
97,downpour brewing,DOWNPOUR BREWING,January,
485,downpour brewing,DOWNPOUR BREWING,February,21.0
873,downpour brewing,DOWNPOUR BREWING,March,12.0
1261,downpour brewing,DOWNPOUR BREWING,April,12.0
1649,downpour brewing,DOWNPOUR BREWING,May,12.0
2037,downpour brewing,DOWNPOUR BREWING,June,15.0
2425,downpour brewing,DOWNPOUR BREWING,July,
2813,downpour brewing,DOWNPOUR BREWING,August,12.0
3201,downpour brewing,DOWNPOUR BREWING,September,24.0
3589,downpour brewing,DOWNPOUR BREWING,October,
3977,downpour brewing,DOWNPOUR BREWING,November,24.0
4365,downpour brewing,DOWNPOUR BREWING,December,
4753,downpour brewing,DOWNPOUR BREWING,total_annual,132.0
98,dreadnought brewing,DREADNOUGHT BREWING,January,4.5
486,dreadnought brewing,DREADNOUGHT BREWING,February,4.0
874,dreadnought brewing,DREADNOUGHT BREWING,March,5.5
1262,dreadnought brewing,DREADNOUGHT BREWING,April,
1650,dreadnought brewing,DREADNOUGHT BREWING,May,9.5
2038,dreadnought brewing,DREADNOUGHT BREWING,June,
2426,dreadnought brewing,DREADNOUGHT BREWING,July,8.5
2814,dreadnought brewing,DREADNOUGHT BREWING,August,
3202,dreadnought brewing,DREADNOUGHT BREWING,September,8.5
3590,dreadnought brewing,DREADNOUGHT BREWING,October,
3978,dreadnought brewing,DREADNOUGHT BREWING,November,9.0
4366,dreadnought brewing,DREADNOUGHT BREWING,December,
4754,dreadnought brewing,DREADNOUGHT BREWING,total_annual,49.5
99,dru bru,DRU BRU,January,206.37
487,dru bru,DRU BRU,February,302.96
875,dru bru,DRU BRU,March,337.66
1263,dru bru,DRU BRU,April,302.57000000000005
1651,dru bru,DRU BRU,May,327.28999999999996
2039,dru bru,DRU BRU,June,442.43
2427,dru bru,DRU BRU,July,433.26
2815,dru bru,DRU BRU,August,466.01
3203,dru bru,DRU BRU,September,519.14
3591,dru bru,DRU BRU,October,314.67
3979,dru bru,DRU BRU,November,360.73
4367,dru bru,DRU BRU,December,365.75
4755,dru bru,DRU BRU,total_annual,4378.84
100,dubtown brewing company,DUBTOWN BREWING COMPANY,January,5.0
488,dubtown brewing company,DUBTOWN BREWING COMPANY,February,19.0
876,dubtown brewing company,DUBTOWN BREWING COMPANY,March,4.5
1264,dubtown brewing company,DUBTOWN BREWING COMPANY,April,14.5
1652,dubtown brewing company,DUBTOWN BREWING COMPANY,May,19.0
2040,dubtown brewing company,DUBTOWN BREWING COMPANY,June,9.5
2428,dubtown brewing company,DUBTOWN BREWING COMPANY,July,4.5
2816,dubtown brewing company,DUBTOWN BREWING COMPANY,August,19.0
3204,dubtown brewing company,DUBTOWN BREWING COMPANY,September,5.0
3592,dubtown brewing company,DUBTOWN BREWING COMPANY,October,14.5
3980,dubtown brewing company,DUBTOWN BREWING COMPANY,November,19.0
4368,dubtown brewing company,DUBTOWN BREWING COMPANY,December,9.5
4756,dubtown brewing company,DUBTOWN BREWING COMPANY,total_annual,143.0
101,dunagan irish pub and brewery,DUNAGAN BREWING CO.,January,
489,dunagan irish pub and brewery,DUNAGAN BREWING CO.,February,
877,dunagan irish pub and brewery,DUNAGAN BREWING CO.,March,5.5
1265,dunagan irish pub and brewery,DUNAGAN BREWING CO.,April,4.5
1653,dunagan irish pub and brewery,DUNAGAN BREWING CO.,May,
2041,dunagan irish pub and brewery,DUNAGAN BREWING CO.,June,
2429,dunagan irish pub and brewery,DUNAGAN BREWING CO.,July,3.0
2817,dunagan irish pub and brewery,DUNAGAN BREWING CO.,August,
3205,dunagan irish pub and brewery,DUNAGAN BREWING CO.,September,
3593,dunagan irish pub and brewery,DUNAGAN BREWING CO.,October,6.0
3981,dunagan irish pub and brewery,DUNAGAN BREWING CO.,November,
4369,dunagan irish pub and brewery,DUNAGAN BREWING CO.,December,
4757,dunagan irish pub and brewery,DUNAGAN BREWING CO.,total_annual,19.0
102,dungeness brewing company,DUNGENESS BREWING COMPANY,January,
490,dungeness brewing company,DUNGENESS BREWING COMPANY,February,
878,dungeness brewing company,DUNGENESS BREWING COMPANY,March,
1266,dungeness brewing company,DUNGENESS BREWING COMPANY,April,
1654,dungeness brewing company,DUNGENESS BREWING COMPANY,May,
2042,dungeness brewing company,DUNGENESS BREWING COMPANY,June,
2430,dungeness brewing company,DUNGENESS BREWING COMPANY,July,
2818,dungeness brewing company,DUNGENESS BREWING COMPANY,August,
3206,dungeness brewing company,DUNGENESS BREWING COMPANY,September,0.8
3594,dungeness brewing company,DUNGENESS BREWING COMPANY,October,0.8
3982,dungeness brewing company,DUNGENESS BREWING COMPANY,November,
4370,dungeness brewing company,DUNGENESS BREWING COMPANY,December,
4758,dungeness brewing company,DUNGENESS BREWING COMPANY,total_annual,1.6
103,dwinell country ales,DWINELL COUNTRY ALE,January,1.52
491,dwinell country ales,DWINELL COUNTRY ALE,February,10.8
879,dwinell country ales,DWINELL COUNTRY ALE,March,6.26
1267,dwinell country ales,DWINELL COUNTRY ALE,April,8.1
1655,dwinell country ales,DWINELL COUNTRY ALE,May,7.28
2043,dwinell country ales,DWINELL COUNTRY ALE,June,6.24
2431,dwinell country ales,DWINELL COUNTRY ALE,July,6.8
2819,dwinell country ales,DWINELL COUNTRY ALE,August,17.94
3207,dwinell country ales,DWINELL COUNTRY ALE,September,8.3
3595,dwinell country ales,DWINELL COUNTRY ALE,October,7.81
3983,dwinell country ales,DWINELL COUNTRY ALE,November,4.52
4371,dwinell country ales,DWINELL COUNTRY ALE,December,0.41
4759,dwinell country ales,DWINELL COUNTRY ALE,total_annual,85.97999999999999
104,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,January,50.5
492,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,February,
880,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,March,7.8
1268,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,April,
1656,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,May,40.4
2044,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,June,
2432,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,July,
2820,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,August,45.1
3208,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,September,
3596,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,October,
3984,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,November,
4372,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,December,25.8
4760,dystopian state brewing company,DYSTOPIAN STATE BREWING CO.,total_annual,169.6
105,e2w brewing,E2W BREWING,January,1.75
493,e2w brewing,E2W BREWING,February,2.42
881,e2w brewing,E2W BREWING,March,3.09
1269,e2w brewing,E2W BREWING,April,2.0
1657,e2w brewing,E2W BREWING,May,
2045,e2w brewing,E2W BREWING,June,4.85
2433,e2w brewing,E2W BREWING,July,
2821,e2w brewing,E2W BREWING,August,
3209,e2w brewing,E2W BREWING,September,
3597,e2w brewing,E2W BREWING,October,
3985,e2w brewing,E2W BREWING,November,
4373,e2w brewing,E2W BREWING,December,
4761,e2w brewing,E2W BREWING,total_annual,14.11
106,e9 brewing company,E9 BREWING CO,January,142.89
494,e9 brewing company,E9 BREWING CO,February,187.39
882,e9 brewing company,E9 BREWING CO,March,221.89
1270,e9 brewing company,E9 BREWING CO,April,225.03
1658,e9 brewing company,E9 BREWING CO,May,208.38
2046,e9 brewing company,E9 BREWING CO,June,230.98
2434,e9 brewing company,E9 BREWING CO,July,218.46
2822,e9 brewing company,E9 BREWING CO,August,232.84
3210,e9 brewing company,E9 BREWING CO,September,1160.95
3598,e9 brewing company,E9 BREWING CO,October,180.98
3986,e9 brewing company,E9 BREWING CO,November,192.9
4374,e9 brewing company,E9 BREWING CO,December,232.3
4762,e9 brewing company,E9 BREWING CO,total_annual,3434.99
107,echoes brewing company,ECHOES BREWING COMPANY LLC,January,17.85
495,echoes brewing company,ECHOES BREWING COMPANY LLC,February,16.83
883,echoes brewing company,ECHOES BREWING COMPANY LLC,March,35.91
1271,echoes brewing company,ECHOES BREWING COMPANY LLC,April,28.83
1659,echoes brewing company,ECHOES BREWING COMPANY LLC,May,31.35
2047,echoes brewing company,ECHOES BREWING COMPANY LLC,June,34.09
2435,echoes brewing company,ECHOES BREWING COMPANY LLC,July,38.18
2823,echoes brewing company,ECHOES BREWING COMPANY LLC,August,47.59
3211,echoes brewing company,ECHOES BREWING COMPANY LLC,September,39.53
3599,echoes brewing company,ECHOES BREWING COMPANY LLC,October,43.83
3987,echoes brewing company,ECHOES BREWING COMPANY LLC,November,40.55
4375,echoes brewing company,ECHOES BREWING COMPANY LLC,December,31.84
4763,echoes brewing company,ECHOES BREWING COMPANY LLC,total_annual,406.38
108,elk head brewing company,ELK HEAD BREWING,January,21.29
496,elk head brewing company,ELK HEAD BREWING,February,26.69
884,elk head brewing company,ELK HEAD BREWING,March,30.25
1272,elk head brewing company,ELK HEAD BREWING,April,30.83
1660,elk head brewing company,ELK HEAD BREWING,May,26.7
2048,elk head brewing company,ELK HEAD BREWING,June,28.77
2436,elk head brewing company,ELK HEAD BREWING,July,32.03
2824,elk head brewing company,ELK HEAD BREWING,August,28.1
3212,elk head brewing company,ELK HEAD BREWING,September,29.58
3600,elk head brewing company,ELK HEAD BREWING,October,24.41
3988,elk head brewing company,ELK HEAD BREWING,November,25.19
4376,elk head brewing company,ELK HEAD BREWING,December,29.31
4764,elk head brewing company,ELK HEAD BREWING,total_annual,333.15000000000003
109,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,January,95.7
497,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,February,105.9
885,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,March,133.0
1273,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,April,157.62
1661,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,May,87.10000000000001
2049,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,June,176.54
2437,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,July,95.1
2825,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,August,122.92
3213,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,September,103.38
3601,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,October,74.3
3989,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,November,95.73
4377,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,December,116.56
4765,elliott bay brewing company,ELLIOTT BAY BREWHOUSE & PUBELLIOTT BAY PUBLIC HOUSE & BREWERYELLIOTT BAY BREWERY & PUB,total_annual,1363.85
110,elysian brewing,ELYSIAN BREWING COMPANY,January,874.69
498,elysian brewing,ELYSIAN BREWING COMPANY,February,780.65
886,elysian brewing,ELYSIAN BREWING COMPANY,March,-101.03
1274,elysian brewing,ELYSIAN BREWING COMPANY,April,2182.4
1662,elysian brewing,ELYSIAN BREWING COMPANY,May,1447.5
2050,elysian brewing,ELYSIAN BREWING COMPANY,June,947.41
2438,elysian brewing,ELYSIAN BREWING COMPANY,July,1211.8
2826,elysian brewing,ELYSIAN BREWING COMPANY,August,1545.98
3214,elysian brewing,ELYSIAN BREWING COMPANY,September,1207.3
3602,elysian brewing,ELYSIAN BREWING COMPANY,October,1627.5
3990,elysian brewing,ELYSIAN BREWING COMPANY,November,507.17
4378,elysian brewing,ELYSIAN BREWING COMPANY,December,732.5
4766,elysian brewing,ELYSIAN BREWING COMPANY,total_annual,12963.87
111,everybody's brewing,EVERYBODYS BREWING,January,184.47
499,everybody's brewing,EVERYBODYS BREWING,February,200.68
887,everybody's brewing,EVERYBODYS BREWING,March,320.71
1275,everybody's brewing,EVERYBODYS BREWING,April,278.26
1663,everybody's brewing,EVERYBODYS BREWING,May,295.38
2051,everybody's brewing,EVERYBODYS BREWING,June,313.73
2439,everybody's brewing,EVERYBODYS BREWING,July,284.98
2827,everybody's brewing,EVERYBODYS BREWING,August,409.67
3215,everybody's brewing,EVERYBODYS BREWING,September,313.55
3603,everybody's brewing,EVERYBODYS BREWING,October,206.14
3991,everybody's brewing,EVERYBODYS BREWING,November,276.42
4379,everybody's brewing,EVERYBODYS BREWING,December,187.26
4767,everybody's brewing,EVERYBODYS BREWING,total_annual,3271.2500000000005
112,explorer brewing company,EXPLORER BREWING COMPANY,January,8.2
500,explorer brewing company,EXPLORER BREWING COMPANY,February,8.75
888,explorer brewing company,EXPLORER BREWING COMPANY,March,10.56
1276,explorer brewing company,EXPLORER BREWING COMPANY,April,8.91
1664,explorer brewing company,EXPLORER BREWING COMPANY,May,7.98
2052,explorer brewing company,EXPLORER BREWING COMPANY,June,10.03
2440,explorer brewing company,EXPLORER BREWING COMPANY,July,11.2
2828,explorer brewing company,EXPLORER BREWING COMPANY,August,12.71
3216,explorer brewing company,EXPLORER BREWING COMPANY,September,12.38
3604,explorer brewing company,EXPLORER BREWING COMPANY,October,6.46
3992,explorer brewing company,EXPLORER BREWING COMPANY,November,
4380,explorer brewing company,EXPLORER BREWING COMPANY,December,18.86
4768,explorer brewing company,EXPLORER BREWING COMPANY,total_annual,116.04
113,fair isle brewing,FAIR ISLE BREWING,January,35.06
501,fair isle brewing,FAIR ISLE BREWING,February,20.99
889,fair isle brewing,FAIR ISLE BREWING,March,50.87
1277,fair isle brewing,FAIR ISLE BREWING,April,42.56
1665,fair isle brewing,FAIR ISLE BREWING,May,33.26
2053,fair isle brewing,FAIR ISLE BREWING,June,104.07
2441,fair isle brewing,FAIR ISLE BREWING,July,36.94
2829,fair isle brewing,FAIR ISLE BREWING,August,61.92
3217,fair isle brewing,FAIR ISLE BREWING,September,0.0
3605,fair isle brewing,FAIR ISLE BREWING,October,46.95
3993,fair isle brewing,FAIR ISLE BREWING,November,52.3
4381,fair isle brewing,FAIR ISLE BREWING,December,25.05
4769,fair isle brewing,FAIR ISLE BREWING,total_annual,509.97
114,farmstrong brewing company,FARMSTRONG BREWING COMPANY,January,85.7
502,farmstrong brewing company,FARMSTRONG BREWING COMPANY,February,73.98
890,farmstrong brewing company,FARMSTRONG BREWING COMPANY,March,153.2
1278,farmstrong brewing company,FARMSTRONG BREWING COMPANY,April,104.67
1666,farmstrong brewing company,FARMSTRONG BREWING COMPANY,May,165.96
2054,farmstrong brewing company,FARMSTRONG BREWING COMPANY,June,163.76
2442,farmstrong brewing company,FARMSTRONG BREWING COMPANY,July,154.8
2830,farmstrong brewing company,FARMSTRONG BREWING COMPANY,August,213.71
3218,farmstrong brewing company,FARMSTRONG BREWING COMPANY,September,
3606,farmstrong brewing company,FARMSTRONG BREWING COMPANY,October,
3994,farmstrong brewing company,FARMSTRONG BREWING COMPANY,November,
4382,farmstrong brewing company,FARMSTRONG BREWING COMPANY,December,378.68
4770,farmstrong brewing company,FARMSTRONG BREWING COMPANY,total_annual,1494.46
115,fast fashion beer,FAST FASHION,January,75.0
503,fast fashion beer,FAST FASHION,February,48.0
891,fast fashion beer,FAST FASHION,March,
1279,fast fashion beer,FAST FASHION,April,70.0
1667,fast fashion beer,FAST FASHION,May,28.0
2055,fast fashion beer,FAST FASHION,June,48.0
2443,fast fashion beer,FAST FASHION,July,30.0
2831,fast fashion beer,FAST FASHION,August,
3219,fast fashion beer,FAST FASHION,September,80.0
3607,fast fashion beer,FAST FASHION,October,
3995,fast fashion beer,FAST FASHION,November,42.0
4383,fast fashion beer,FAST FASHION,December,40.0
4771,fast fashion beer,FAST FASHION,total_annual,461.0
116,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,January,
504,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,February,0.5
892,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,March,0.5
1280,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,April,0.25
1668,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,May,1.0
2056,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,June,
2444,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,July,1.0
2832,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,August,1.5
3220,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,September,0.25
3608,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,October,2.58
3996,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,November,
4384,fathom and league hop yard brewery,FATHOM & LEAGUE HOP YARD BREWERY,December,1.0
